Species	C_T	A_G	T_C	G_T	A_C	G_A	A_T	G_C	C_A	C_G	T_A	T_G	BranchLength	C_T_rate	A_G_rate	T_C_rate	G_T_rate	A_C_rate	G_A_rate	A_T_rate	G_C_rate	C_A_rate	C_G_rate	T_A_rate	T_G_rate
3.10.3_Amitermes_capito_1	2	2	1	1	1	0	0	0	0	0	0	0	0.0017439687	1146.80957290116	1146.80957290116	573.404786450582	573.404786450582	573.404786450582	0	0	0	0	0	0	0
3.11.1_Nasutitermes_exitiosus_1	2	3	4	0	0	3	0	0	0	0	0	0	0.0018219958	1097.6973712014	1646.54605680211	2195.39474240281	0	0	1646.54605680211	0	0	0	0	0	0
3.12.2.AUS_Heterotermes_cf_occiduus_1	21	35	24	5	3	23	6	2	5	1	1	0	0.0405626986	517.717033747848	862.86172291308	591.676609997541	123.265960416154	73.9595762496926	567.02341791431	147.919152499385	49.3063841664617	123.265960416154	24.6531920832309	24.6531920832309	0
3.14.4_Amitermes_sp.1_1	0	1	0	0	0	0	0	0	0	0	0	0	0.0003738581	0	2674.81164645089	0	0	0	0	0	0	0	0	0	0
3_15_2_AUS_Heterotermes_occidus_Australia_1	27	27	29	4	3	15	3	2	6	0	4	2	0.0309904493	871.236158554178	871.236158554178	935.772170298931	129.072023489508	96.8040176171308	484.020088085654	96.8040176171308	64.5360117447539	193.608035234262	0	129.072023489508	64.5360117447539
3.15.6AUS_Heterotermes_platycephalus_Australia_1	34	29	35	5	4	18	4	0	4	0	1	0	0.0383240166	887.172144685899	756.705652820326	913.265443059014	130.466491865573	104.373193492459	469.679370716064	104.373193492459	0	104.373193492459	0	26.0932983731147	0
Ancistrotermes_pakistanicus_Thailand_1	0	1	2	1	1	2	0	0	0	0	0	0	0.0015569026	0	642.300937772215	1284.60187554443	642.300937772215	642.300937772215	1284.60187554443	0	0	0	0	0	0
ARG2014-01_Aparatermes_sp.B_1	27	44	31	6	14	11	21	3	10	2	21	8	0.0595496358	453.40327673339	738.879413935895	520.574132545744	100.756283718531	235.097995343239	184.719853483974	352.646993014859	50.3781418592656	167.927139530885	33.5854279061771	352.646993014859	134.341711624708
AUS103_Heterotermes_cf_paradoxus_1	0	2	0	0	0	0	0	0	0	0	0	0	0.0002618211	0	7638.80374805545	0	0	0	0	0	0	0	0	0	0
AUS104_Schedorhinotermes_sp4_Australia_1	1	4	0	1	0	0	1	0	0	0	0	0	0.0009056488	1104.18078177766	4416.72312711064	0	1104.18078177766	0	0	1104.18078177766	0	0	0	0	0
AUS109_Kalotermitidae_sp_E_Australia_1	17	32	28	4	13	11	34	0	9	2	20	9	0.075269994	225.853611732718	425.13621032041	371.994184030359	53.1420262900512	172.711585442667	146.140572297641	451.707223465436	0	119.569559152615	26.5710131450256	265.710131450256	119.569559152615
AUS114_Microcerotermes_sp.H_1	25	26	26	3	8	15	10	0	2	2	1	5	0.0321536569	777.516538095547	808.617199619369	808.617199619369	93.3019845714657	248.805292190575	466.509922857328	311.006615238219	0	62.2013230476438	62.2013230476438	31.1006615238219	155.503307619109
AUS11_Schedorhinotermes_spA_Australia_1	21	18	30	6	3	7	6	2	6	0	6	2	0.0231958985	905.332466427201	775.9992569376	1293.332094896	258.6664189792	129.3332094896	301.777488809067	258.6664189792	86.2221396597334	258.6664189792	0	258.6664189792	86.2221396597334
AUS121_Heterotermes_cf_paradoxus_1	20	34	29	6	4	24	6	1	7	3	3	2	0.0353396752	565.936157783363	962.091468231717	820.607428785876	169.780847335009	113.187231556673	679.123389340036	169.780847335009	28.2968078891682	198.077655224177	84.8904236675045	84.8904236675045	56.5936157783363
AUS18_Ephelotermes_melachoma_1	34	55	43	2	12	20	12	1	2	2	10	3	0.0527168577	644.954981829275	1043.30952942971	815.678359372319	37.9385283428986	227.631170057391	379.385283428986	227.631170057391	18.9692641714493	37.9385283428986	37.9385283428986	189.692641714493	56.9077925143478
AUS19_Ephelotermes_taylori_1	41	41	41	4	18	20	21	4	14	3	15	5	0.0597076495	686.679183376663	686.679183376663	686.679183376663	66.9930910611378	301.46890977512	334.965455305689	351.713728070974	66.9930910611378	234.475818713982	50.2448182958534	251.224091479267	83.7413638264223
AUS24_Nasutitermes_longipennis_1	23	21	28	5	7	13	4	1	5	0	5	3	0.0306684433	749.95655224535	684.742939006624	912.990585342165	163.034033096815	228.247646335541	423.888486051719	130.427226477452	32.606806619363	163.034033096815	0	163.034033096815	97.8204198580891
AUS30_Microcerotermes_sp._1	6	13	5	0	1	3	6	1	0	0	1	3	0.008968199	669.03064929759	1449.56640681145	557.525541081325	0	111.505108216265	334.515324648795	669.03064929759	111.505108216265	0	0	111.505108216265	334.515324648795
