Species	C_T	A_G	T_C	G_T	A_C	G_A	A_T	G_C	C_A	C_G	T_A	T_G	BranchLength	C_T_rate	A_G_rate	T_C_rate	G_T_rate	A_C_rate	G_A_rate	A_T_rate	G_C_rate	C_A_rate	C_G_rate	T_A_rate	T_G_rate
3.11.1_Nasutitermes_exitiosus_1	2	3	4	0	0	3	0	0	0	0	0	0	0.0309425494	64.6359152294025	96.9538728441038	129.271830458805	0	0	96.9538728441038	0	0	0	0	0	0
3.12.2.AUS_Heterotermes_cf_occiduus_1	21	35	24	5	3	23	6	2	5	1	1	0	0.1290936683	162.672579349114	271.120965581857	185.911519256131	38.7315665116939	23.2389399070163	178.165205953792	46.4778798140327	15.4926266046776	38.7315665116939	7.74631330233878	7.74631330233878	0
3_15_2_AUS_Heterotermes_occidus_Australia_1	27	27	29	4	3	15	3	2	6	0	4	2	0.1604127339	168.315814733459	168.315814733459	180.783652861863	24.9356762568087	18.7017571926065	93.5087859630326	18.7017571926065	12.4678381284043	37.403514385213	0	24.9356762568087	12.4678381284043
3.15.6AUS_Heterotermes_platycephalus_Australia_1	34	29	35	5	4	18	4	0	4	0	1	0	0.1273377259	267.006495990832	227.74083481571	274.859628225856	39.2656611751223	31.4125289400979	141.35638023044	31.4125289400979	0	31.4125289400979	0	7.85313223502447	0
Ancistrotermes_pakistanicus_Thailand_1	0	1	2	1	1	2	0	0	0	0	0	0	0.0762862864	0	13.1085159232499	26.2170318464997	13.1085159232499	13.1085159232499	26.2170318464997	0	0	0	0	0	0
AUS101_1	1	0	1	0	0	1	0	0	1	0	0	0	0.0527743902	18.9485846489231	0	18.9485846489231	0	0	18.9485846489231	0	0	18.9485846489231	0	0	0
AUS102_1	1	6	2	2	0	0	0	0	0	0	0	0	0.0572918691	17.4544837811898	104.726902687139	34.9089675623796	34.9089675623796	0	0	0	0	0	0	0	0
AUS103_Heterotermes_cf_paradoxus_1	0	2	0	0	0	0	0	0	0	0	0	0	0.1148374104	0	17.4159273797069	0	0	0	0	0	0	0	0	0	0
AUS104_Schedorhinotermes_sp4_Australia_1	1	4	0	1	0	0	1	0	0	0	0	0	0.1114764456	8.97050488663948	35.8820195465579	0	8.97050488663948	0	0	8.97050488663948	0	0	0	0	0
AUS109_Kalotermitidae_sp_E_Australia_1	17	32	28	4	13	11	34	0	9	2	20	9	0.056771075	299.448266568847	563.667325306065	493.208909642807	70.4584156632581	228.989850905589	193.76064307396	598.896533137694	0	158.531435242331	35.229207831629	352.29207831629	158.531435242331
AUS110_NODE_1_length_15815_cov_394767_ID_1911_1	0	2	1	0	0	2	0	0	0	0	0	0	0.0373067543	0	53.6095953005486	26.8047976502743	0	0	53.6095953005486	0	0	0	0	0	0
AUS111_1	8	14	10	0	0	3	2	0	0	1	0	0	0.0835819392	95.714457890922	167.500301309113	119.643072363652	0	0	35.8929217090957	23.9286144727305	0	0	11.9643072363652	0	0
AUS114_Microcerotermes_sp.H_1	25	26	26	3	8	15	10	0	2	2	1	5	0.0486052758	514.347456907137	534.921355183422	534.921355183422	61.7216948288564	164.591186210284	308.608474144282	205.738982762855	0	41.1477965525709	41.1477965525709	20.5738982762855	102.869491381427
AUS11_Schedorhinotermes_spA_Australia_1	21	18	30	6	3	7	6	2	6	0	6	2	0.1080004911	194.443560266366	166.665908799742	277.776514666237	55.5553029332475	27.7776514666237	64.8145200887887	55.5553029332475	18.5184343110825	55.5553029332475	0	55.5553029332475	18.5184343110825
AUS121_Heterotermes_cf_paradoxus_1	20	34	29	6	4	24	6	1	7	3	3	2	0.0826153438	242.085780680368	411.545827156626	351.024381986534	72.6257342041104	48.4171561360736	290.502936816442	72.6257342041104	12.1042890340184	84.7300232381288	36.3128671020552	36.3128671020552	24.2085780680368
AUS19_Ephelotermes_taylori_1	41	41	41	4	18	20	21	4	14	3	15	5	0.0232415131	1764.08480048573	1764.08480048573	1764.08480048573	172.10583419373	774.476253871784	860.529170968649	903.555629517082	172.10583419373	602.370419678054	129.079375645297	645.396878226487	215.132292742162
AUS30_Microcerotermes_sp._1	6	13	5	0	1	3	6	1	0	0	1	3	0.0656152556	91.4421493162636	198.124656851904	76.2017910968863	0	15.2403582193773	45.7210746581318	91.4421493162636	15.2403582193773	0	0	15.2403582193773	45.7210746581318
AUS46_Lophotermes_septentrionalis_1	40	45	39	6	13	25	13	1	17	3	13	8	0.1702638119	234.929545824411	264.295739052463	229.056307178801	35.2394318736617	76.3521023929337	146.830966140257	76.3521023929337	5.87323864561028	99.8450569753748	17.6197159368308	76.3521023929337	46.9859091648823
AUS47_Heterotermes_vagus_Australia_1	21	82	57	5	12	12	14	2	4	1	6	9	0.1418807645	148.011607309883	577.95008568621	401.745791269683	35.2408588833055	84.5780613199332	84.5780613199332	98.6744048732554	14.0963435533222	28.1926871066444	7.0481717766611	42.2890306599666	63.4335459899499
AUS49_Tumulitermes_sp._1	39	41	59	7	15	21	21	3	14	2	19	6	0.0697737522	558.949444028897	587.613518081661	845.590184556536	100.324259184674	214.980555395729	300.972777554021	300.972777554021	42.9961110791459	200.648518369347	28.6640740527639	272.308703501257	85.9922221582918
AUS4_Amitermes_meridionalis_1	26	35	27	5	13	27	11	3	12	4	11	10	0.0319648157	813.394334696571	1094.95391209154	844.6787321849	156.421987441648	406.697167348285	844.6787321849	344.128372371626	93.8531924649889	375.412769859956	125.137589953319	344.128372371626	312.843974883296
