Species C_T A_G T_C G_T A_C G_A A_T G_C C_A C_G T_A T_G BranchLength C_T_rate A_G_rate T_C_rate G_T_rate A_C_rate G_A_rate A_T_rate G_C_rate C_A_rate C_G_rate T_A_rate T_G_rate C_T_rate.res A_G_rate.res T_C_rate.res G_T_rate.res A_C_rate.res G_A_rate.res A_T_rate.res G_C_rate.res C_A_rate.res C_G_rate.res T_A_rate.res T_G_rate.res
3.11.1_Nasutitermes_exitiosus_1 2 3 4 0 0 3 0 0 0 0 0 0 0.0309425494 64.6359152294025 96.9538728441038 129.271830458805 0 0 96.9538728441038 0 0 0 0 0 0 -439.499582766257 -739.783046173573 -506.826726618914 -113.337539142461 -370.68793893091 -167.232161347884 -487.81613753535 -29.7965758493681 -189.212212885951 -33.9926370990352 -268.218491625485 -188.184774863727
3.12.2.AUS_Heterotermes_cf_occiduus_1 21 35 24 5 3 23 6 2 5 1 1 0 0.1290936683 162.672579349114 271.120965581857 185.911519256131 38.7315665116939 23.2389399070163 178.165205953792 46.4778798140327 15.4926266046776 38.7315665116939 7.74631330233878 7.74631330233878 0 -155.480586215509 -257.802877860593 -214.679363234218 -32.7546357931537 -206.407056904841 10.4199162325346 -257.672951555537 -3.4094749766742 -79.5106189424626 -13.0066822960268 -162.444742189937 -116.90427899391
3_15_2_AUS_Heterotermes_occidus_Australia_1 27 27 29 4 3 15 3 2 6 0 4 2 0.1604127339 168.315814733459 168.315814733459 180.783652861863 24.9356762568087 18.7017571926065 93.5087859630326 18.7017571926065 12.4678381284043 37.403514385213 0 24.9356762568087 12.4678381284043 -90.4922008713011 -262.387875800697 -144.659025589978 -33.1961722866686 -165.939130282914 -43.4632019717322 -226.843264719905 -2.95794287605065 -58.1928268882508 -16.5283550101884 -113.975779601112 -81.6915292316207
3.15.6AUS_Heterotermes_platycephalus_Australia_1 34 29 35 5 4 18 4 0 4 0 1 0 0.1273377259 267.006495990832 227.74083481571 274.859628225856 39.2656611751223 31.4125289400979 141.35638023044 31.4125289400979 0 31.4125289400979 0 7.85313223502447 0 -54.4739292813349 -306.68984376764 -129.944531871191 -32.969269597352 -200.756735350731 -28.1142529632265 -276.024110091368 -19.0970058219485 -88.0993239584382 -20.9898553319313 -164.091652948757 -118.179500778373
Ancistrotermes_pakistanicus_Thailand_1 0 1 2 1 1 2 0 0 0 0 0 0 0.0762862864 0 13.1085159232499 26.2170318464997 13.1085159232499 13.1085159232499 26.2170318464997 0 0 0 0 0 0 -418.2156015858 -681.425285081434 -501.081970242439 -80.8945924767905 -292.421034584892 -193.415422087068 -402.96665815967 -24.7635596036186 -156.425564146586 -27.876203288512 -222.931893442766 -155.254696285166
AUS101_1 1 0 1 0 0 1 0 0 1 0 0 0 0.0527743902 18.9485846489231 0 18.9485846489231 0 0 18.9485846489231 0 0 18.9485846489231 0 0 0 -443.818697489878 -768.269782448779 -564.765790603955 -104.02850901274 -339.315854119498 -223.786048850796 -446.963299894451 -27.3733082342394 -154.477701822464 -31.04773184751 -246.414161693466 -172.329790677959
AUS102_1 1 6 2 2 0 0 0 0 0 0 0 0 0.0572918691 17.4544837811898 104.726902687139 34.9089675623796 34.9089675623796 0 0 0 0 0 0 0 0 -436.752821946278 -649.375551975271 -537.965990242589 -67.1933022671542 -332.824292895555 -238.295875866292 -438.509966355672 -26.8718818808373 -170.15983770291 -30.4383674124109 -241.902375385619 -169.049052366646
AUS103_Heterotermes_cf_paradoxus_1 0 2 0 0 0 0 0 0 0 0 0 0 0.1148374104 0 17.4159273797069 0 0 0 0 0 0 0 0 0 0 -345.16673530988 -556.217162779164 -434.797911243306 -77.5650270610348 -250.132062830265 -181.75311908328 -330.827857585129 -20.4845026440233 -128.550443022454 -22.6760276111682 -184.429348712494 -127.25763149512
AUS104_Schedorhinotermes_sp4_Australia_1 1 4 0 1 0 0 1 0 0 0 0 0 0.1114764456 8.97050488663948 35.8820195465579 0 8.97050488663948 0 0 8.97050488663948 0 0 0 0 0 -342.56477802339 -548.29143860386 -442.86234304285 -70.0276272833393 -254.961727617569 -185.055515949302 -328.146558933961 -20.8575594663975 -130.980652343821 -23.1293894224962 -187.786078273709 -129.698472111406
AUS109_Kalotermitidae_sp_E_Australia_1 17 32 28 4 13 11 34 0 9 2 20 9 0.056771075 299.448266568847 563.667325306065 493.208909642807 70.4584156632581 228.989850905589 193.76064307396 598.896533137694 0 158.531435242331 35.229207831629 352.29207831629 158.531435242331 -155.745869492496 -192.068398904966 -80.9156621126126 -31.8659191773159 -104.582816660895 -45.0469515713215 159.412030690148 -26.9296884344963 -12.0049725086596 4.72059030636212 109.869565096804 -10.8958345314125
AUS110_NODE_1_length_15815_cov_394767_ID_1911_1 0 2 1 0 0 2 0 0 0 0 0 0 0.0373067543 0 53.6095953005486 26.8047976502743 0 0 53.6095953005486 0 0 0 0 0 0 -492.076239938935 -763.168453091766 -594.023234614344 -110.623861642311 -361.54265531928 -204.323136174172 -475.907117500124 -29.0901685531858 -184.610453869891 -33.134167096277 -261.862306424896 -183.562884801003
AUS111_1 8 14 10 0 0 3 2 0 0 1 0 0 0.0835819392 95.714457890922 167.500301309113 119.643072363652 0 0 35.8929217090957 23.9286144727305 0 0 11.9643072363652 0 0 -308.676925086291 -504.153502484485 -390.150452000928 -90.8922643647914 -295.045787801507 -176.571012952177 -365.386051532306 -23.9537644368517 -151.150304066501 -14.9277826903443 -215.645434083798 -149.956358832612
AUS114_Microcerotermes_sp.H_1 25 26 26 3 8 15 10 0 2 2 1 5 0.0486052758 514.347456907137 534.921355183422 534.921355183422 61.7216948288564 164.591186210284 308.608474144282 205.738982762855 0 41.1477965525709 41.1477965525709 20.5738982762855 102.869491381427 43.6802992603064 -246.423244346112 -58.7965579652706 -44.0845118099974 -180.715633661643 61.7773769360919 -249.025773511286 -27.8360671926726 -135.293047130698 9.53769128894617 -230.004124208156 -72.4880441159542
AUS11_Schedorhinotermes_spA_Australia_1 21 18 30 6 3 7 6 2 6 0 6 2 0.1080004911 194.443560266366 166.665908799742 277.776514666237 55.5553029332475 27.7776514666237 64.8145200887887 55.5553029332475 18.5184343110825 55.5553029332475 0 55.5553029332475 18.5184343110825 -163.678159279122 -428.408538123862 -173.426171007862 -24.9249656019818 -232.178979712839 -123.656378624187 -288.06614162815 -2.72494548300408 -77.9387042146891 -23.5982622378894 -135.702349700178 -113.704387631051
AUS121_Heterotermes_cf_paradoxus_1 20 34 29 6 4 24 6 1 7 3 3 2 0.0826153438 242.085780680368 411.545827156626 351.024381986534 72.6257342041104 48.4171561360736 290.502936816442 72.6257342041104 12.1042890340184 84.7300232381288 36.3128671020552 36.3128671020552 24.2085780680368 -164.137162334304 -263.139329781443 -161.088429590174 -18.6786834822575 -248.017617282584 77.0892505779824 -318.49767368863 -11.9567645385141 -67.1191959586551 9.29039275675099 -180.297944349847 -126.449753398098
