Species	C_T	A_G	T_C	G_T	G_A	A_T	G_C	A_C	C_A	C_G	T_A	T_G	BranchLength	sumOfSubs	C_T_fr	A_G_fr	T_C_fr	G_T_fr	G_A_fr	A_T_fr	G_C_fr	A_C_fr	C_A_fr	C_G_fr	T_A_fr	T_G_fr	Taxonomy	Worker	diet.wood.soil
3.12.2.AUS_Heterotermes_cf_occiduus_1	18	32	24	5	22	5	2	2	4	1	2	0	0.0390369357	117	0.153846153846154	0.273504273504274	0.205128205128205	0.0427350427350427	0.188034188034188	0.0427350427350427	0.0170940170940171	0.0170940170940171	0.0341880341880342	0.00854700854700855	0.0170940170940171	0	Coptotermitinae	1	Wood
3_15_2_AUS_Heterotermes_occidus_Australia_1	28	28	32	4	16	4	1	4	5	0	4	1	0.0305033782	127	0.220472440944882	0.220472440944882	0.251968503937008	0.031496062992126	0.125984251968504	0.031496062992126	0.0078740157480315	0.031496062992126	0.0393700787401575	0	0.031496062992126	0.0078740157480315	Coptotermitinae	1	Wood
3.15.6AUS_Heterotermes_platycephalus_Australia_1	32	28	34	5	17	3	0	4	4	0	1	0	0.0380641298	128	0.25	0.21875	0.265625	0.0390625	0.1328125	0.0234375	0	0.03125	0.03125	0	0.0078125	0	Coptotermitinae	1	Wood
Acroneuria_hainana_1	2	101	130	5	5	144	3	161	0	4	76	70	0.5575997593	701	0.00285306704707561	0.144079885877318	0.185449358059914	0.00713266761768902	0.00713266761768902	0.205420827389444	0.00427960057061341	0.229671897289586	0	0.00570613409415121	0.108416547788873	0.0998573466476462	NA	NA	NA
Allacta_bimaculata_1	9	11	10	10	9	95	1	18	8	5	61	9	0.1892062944	246	0.0365853658536585	0.0447154471544715	0.040650406504065	0.040650406504065	0.0365853658536585	0.386178861788618	0.0040650406504065	0.0731707317073171	0.032520325203252	0.0203252032520325	0.247967479674797	0.0365853658536585	NA	NA	NA
Amazonina_sp._1	6	31	34	3	8	164	1	55	1	4	86	24	0.2759464583	417	0.0143884892086331	0.0743405275779376	0.0815347721822542	0.00719424460431655	0.0191846522781775	0.393285371702638	0.00239808153477218	0.13189448441247	0.00239808153477218	0.00959232613908873	0.206235011990408	0.0575539568345324	NA	NA	NA
Anaplecta_calosoma_1	6	117	100	6	5	71	3	78	2	1	40	34	0.2851753523	463	0.0129589632829374	0.252699784017279	0.215982721382289	0.0129589632829374	0.0107991360691145	0.153347732181425	0.00647948164146868	0.168466522678186	0.00431965442764579	0.00215982721382289	0.0863930885529158	0.0734341252699784	NA	NA	NA
Anaplecta_omei_1	1	59	50	8	2	112	3	47	4	1	52	31	0.2156131988	370	0.0027027027027027	0.159459459459459	0.135135135135135	0.0216216216216216	0.00540540540540541	0.302702702702703	0.00810810810810811	0.127027027027027	0.0108108108108108	0.0027027027027027	0.140540540540541	0.0837837837837838	NA	NA	NA
ARG2014-01_Aparatermes_sp.B_1	26	39	30	6	9	20	3	12	9	2	22	8	0.056994076	186	0.139784946236559	0.209677419354839	0.161290322580645	0.032258064516129	0.0483870967741935	0.10752688172043	0.0161290322580645	0.0645161290322581	0.0483870967741935	0.010752688172043	0.118279569892473	0.043010752688172	NA	NA	NA
AUS109_Kalotermitidae_sp_E_Australia_1	12	33	32	4	10	33	0	13	9	1	21	9	0.0718073329	177	0.0677966101694915	0.186440677966102	0.180790960451977	0.0225988700564972	0.0564971751412429	0.186440677966102	0	0.0734463276836158	0.0508474576271186	0.00564971751412429	0.11864406779661	0.0508474576271186	Kalotermitidae	0	wood
