Species	C_T	A_G	T_C	G_T	G_A	A_T	G_C	A_C	C_A	C_G	T_A	T_G	BranchLength	sumOfSubs	C_T_fr	A_G_fr	T_C_fr	G_T_fr	G_A_fr	A_T_fr	G_C_fr	A_C_fr	C_A_fr	C_G_fr	T_A_fr	T_G_fr	Taxonomy	Worker	diet.wood.soil	Soldier	TsTv	Ts	Tv	Cockroaches
BDIT049_Aderitotermes_sp.2_1	30	32	44	4	10	17	5	14	10	0	10	4	0.052753427	180	0.166666667	0.177777778	0.244444444	0.022222222	0.055555556	0.094444444	0.027777778	0.077777778	0.055555556	0	0.055555556	0.022222222	Apicotermitinae	1	Soil	0	1.8125	116	64	0
BDIT061_Alyscotermes_kilimandjaricus_1	11	33	27	5	8	9	0	4	3	2	7	3	0.028365734	112	0.098214286	0.294642857	0.241071429	0.044642857	0.071428571	0.080357143	0	0.035714286	0.026785714	0.017857143	0.0625	0.026785714	Apicotermitinae	1	Soil	0	2.39393939393939	79	33	0
BDIT062_Acholotermes_chirotus_1	31	47	49	7	14	27	3	38	13	3	26	18	0.094574345	276	0.112318841	0.170289855	0.177536232	0.025362319	0.050724638	0.097826087	0.010869565	0.137681159	0.047101449	0.010869565	0.094202899	0.065217391	Apicotermitinae	1	Soil	0	1.04444444444444	141	135	0
BDIT074_Aderitotermes_fossor_1	32	50	45	5	10	34	1	23	12	1	21	25	0.06869968	259	0.123552124	0.193050193	0.173745174	0.019305019	0.038610039	0.131274131	0.003861004	0.088803089	0.046332046	0.003861004	0.081081081	0.096525097	Apicotermitinae	1	Soil	0	1.12295081967213	137	122	0
BDIT076_Apicotermitinae_gen.A_1	35	50	47	10	17	31	3	30	11	1	14	20	0.079532913	269	0.130111524	0.185873606	0.17472119	0.037174721	0.063197026	0.115241636	0.011152416	0.111524164	0.040892193	0.003717472	0.05204461	0.074349442	Apicotermitinae	1	Soil	0	1.24166666666667	149	120	0
BDIT101_Anenteotermes_polyscolus_1	30	59	67	5	13	52	1	30	17	2	23	22	0.089411565	321	0.093457944	0.183800623	0.208722741	0.015576324	0.040498442	0.161993769	0.003115265	0.093457944	0.052959502	0.00623053	0.07165109	0.068535826	Apicotermitinae	1	Soil	0	1.11184210526316	169	152	0
BDIT109_Aderitotermes_sp_1	23	38	46	5	8	29	6	18	11	0	31	11	0.068901188	226	0.101769912	0.168141593	0.203539823	0.022123894	0.03539823	0.128318584	0.026548673	0.079646018	0.048672566	0	0.137168142	0.048672566	Apicotermitinae	1	Soil	0	1.03603603603604	115	111	0
BDIT112_Astalotermes_murcus_1	34	41	30	10	19	36	2	25	7	2	44	13	0.075861655	263	0.129277567	0.155893536	0.114068441	0.038022814	0.072243346	0.136882129	0.007604563	0.095057034	0.02661597	0.007604563	0.16730038	0.049429658	Apicotermitinae	1	Soil	0	0.892086330935252	124	139	0
BRA12_Aparatermes_sp.A_1	19	38	48	8	19	34	4	16	10	2	39	15	0.072548252	252	0.075396825	0.150793651	0.19047619	0.031746032	0.075396825	0.134920635	0.015873016	0.063492063	0.03968254	0.007936508	0.154761905	0.05952381	Apicotermitinae	1	Soil	0	0.96875	124	128	0
CA12_Astalotermes_Cameroon_1	15	39	48	3	9	10	1	4	5	0	7	10	0.036157012	151	0.099337748	0.258278146	0.317880795	0.01986755	0.059602649	0.066225166	0.006622517	0.026490066	0.033112583	0	0.046357616	0.066225166	Apicotermitinae	1	Soil	0	2.775	111	40	0
CA38_Aderitotermes_sp_Cameroon_1	23	26	29	3	12	13	0	13	11	1	12	8	0.047963736	151	0.152317881	0.17218543	0.19205298	0.01986755	0.079470199	0.086092715	0	0.086092715	0.072847682	0.006622517	0.079470199	0.052980132	Apicotermitinae	1	Soil	0	1.47540983606557	90	61	0
COL2012L04_Patawatermes_turricola_1	22	31	29	9	12	16	1	5	10	1	14	10	0.041293635	160	0.1375	0.19375	0.18125	0.05625	0.075	0.1	0.00625	0.03125	0.0625	0.00625	0.0875	0.0625	Apicotermitinae	1	Soil	0	1.42424242424242	94	66	0
FG-ND2-43_Tetimatermes_sp.A_1	26	64	37	6	9	20	1	15	15	0	21	14	0.062592993	228	0.114035088	0.280701754	0.162280702	0.026315789	0.039473684	0.087719298	0.004385965	0.065789474	0.065789474	0	0.092105263	0.061403509	Apicotermitinae	1	Soil	0	1.47826086956522	136	92	0
FG-ND2-48_Ruptitermes_arboreus_1	26	71	54	7	17	34	3	22	9	5	22	19	0.079989375	289	0.089965398	0.24567474	0.186851211	0.024221453	0.058823529	0.117647059	0.010380623	0.076124567	0.031141869	0.017301038	0.076124567	0.065743945	Apicotermitinae	1	Soil	0	1.38842975206612	168	121	0
G13-065_Anoplotermes-group_sp.Q_1	29	86	77	10	19	50	2	39	21	5	41	18	0.115633265	397	0.073047859	0.216624685	0.19395466	0.025188917	0.047858942	0.125944584	0.005037783	0.098236776	0.052896725	0.012594458	0.103274559	0.04534005	Apicotermitinae	1	Soil	0	1.13440860215054	211	186	0
G13-072_Rubeotermes_jheringi_1	40	45	28	12	11	73	3	21	21	1	28	14	0.092328698	297	0.134680135	0.151515152	0.094276094	0.04040404	0.037037037	0.245791246	0.01010101	0.070707071	0.070707071	0.003367003	0.094276094	0.047138047	Apicotermitinae	1	Soil	0	0.716763005780347	124	173	0
G13-081_Aparatermes_nr.cingulatus_1	27	32	27	4	13	31	1	9	5	2	19	8	0.058219296	178	0.151685393	0.179775281	0.151685393	0.02247191	0.073033708	0.174157303	0.005617978	0.050561798	0.028089888	0.011235955	0.106741573	0.04494382	Apicotermitinae	1	Soil	0	1.25316455696203	99	79	0
G13-10_Longustitermes_manni_1	24	43	40	12	7	33	2	15	8	1	15	14	0.061275498	214	0.112149533	0.200934579	0.186915888	0.056074766	0.03271028	0.154205607	0.009345794	0.070093458	0.037383178	0.004672897	0.070093458	0.065420561	Apicotermitinae	1	Soil	0	1.14	114	100	0
G13-142_Anoplotermes_sp.E1_1	27	51	43	4	10	24	5	17	13	1	14	6	0.070892928	215	0.125581395	0.237209302	0.2	0.018604651	0.046511628	0.111627907	0.023255814	0.079069767	0.060465116	0.004651163	0.065116279	0.027906977	Apicotermitinae	1	Soil	0	1.55952380952381	131	84	0
RDCT040_Acidnotermes_praus_1	11	54	32	5	7	6	1	4	4	1	5	10	0.034282094	140	0.078571429	0.385714286	0.228571429	0.035714286	0.05	0.042857143	0.007142857	0.028571429	0.028571429	0.007142857	0.035714286	0.071428571	Apicotermitinae	1	Soil	0	2.88888888888889	104	36	0
RDCT052_Astalotermes_sp.B_1	29	61	53	5	14	45	2	32	5	3	26	23	0.084583343	298	0.097315436	0.204697987	0.177852349	0.016778523	0.046979866	0.151006711	0.006711409	0.10738255	0.016778523	0.010067114	0.087248322	0.077181208	Apicotermitinae	1	Soil	0	1.11347517730496	157	141	0
RDCT70_Ateuchotermes_retifaciens_1	32	35	32	2	16	14	0	16	8	1	7	7	0.053488653	170	0.188235294	0.205882353	0.188235294	0.011764706	0.094117647	0.082352941	0	0.094117647	0.047058824	0.005882353	0.041176471	0.041176471	Apicotermitinae	1	Soil	0	2.09090909090909	115	55	0
BRA28_Anoplotermes-group_sp.I_1	15	45	37	3	10	25	3	9	7	2	23	9	0.045825161	188	0.079787234	0.239361702	0.196808511	0.015957447	0.053191489	0.132978723	0.015957447	0.04787234	0.037234043	0.010638298	0.122340426	0.04787234	Apicotermitinae	1	Soil	0	1.32098765432099	107	81	0
BRA7_Patawatermes_sp.A_1	17	37	32	6	6	35	1	7	8	3	19	10	0.046907399	181	0.093922652	0.20441989	0.17679558	0.033149171	0.033149171	0.193370166	0.005524862	0.038674033	0.044198895	0.016574586	0.104972376	0.055248619	Apicotermitinae	1	Soil	0	1.03370786516854	92	89	0
CA15_Apicotermitinae_gen.B_Cameroon_1	37	45	33	10	17	28	0	13	15	0	19	11	0.073990717	228	0.162280702	0.197368421	0.144736842	0.043859649	0.074561404	0.122807018	0	0.057017544	0.065789474	0	0.083333333	0.048245614	Apicotermitinae	1	Soil	0	1.375	132	96	0
