Species	Taxonomy	Worker	diet.Wood.Soil	Soldier
AUS4_Amitermes_meridionalis_1	Amitermes-group	1	Wood	1
AUS77_Amitermes_sp.D_1	Amitermes-group	1	Wood	1
AUS78_Amitermes_sp.E_1	Amitermes-group	1	Wood	1
BRU3_Amitermes_dentatus_1	Amitermes-group	1	Wood	1
Dentispicotermes_brevicarinatus_1	Amitermes-group	1	Soil	1
E6_Amitermes_sp.A_1	Amitermes-group	1	Wood	1
G697_Orthognathotermes_aduncus_1	Amitermes-group	1	Soil	1
SAF4_Amitermes_sp.5_1	Amitermes-group	1	Wood	1
SAF7_Amitermes_sp.3_1	Amitermes-group	1	Wood	1
SAF8_Amitermes_sp.4_1	Amitermes-group	1	Wood	1
SING86_Globitermes_globosus_1	Amitermes-group	1	Wood	1
T1.10e_Prohamitermes_mirabilis_1	Amitermes-group	1	Wood	1
THAI076_Globitermes_sulphureus_1	Amitermes-group	1	Wood	1
3.10.3_Amitermes_capito_1	Amitermes-group	1	Wood	1
3.14.4_Amitermes_sp.1_1	Amitermes-group	1	Wood	1
Drepanotermes_ISO312_1	Amitermes-group	1	Wood	1
NSW3_Amitermes_obeuntis_1	Amitermes-group	1	Wood	1
T2.1e_Amitermes_dentatus_1	Amitermes-group	1	Wood	1
Anaplecta_calosoma_1	Anaplectidae	NA	NA	NA
Anaplecta_omei_1	Anaplectidae	NA	NA	NA
ARG2014-01_Aparatermes_sp.B_1	Apicotermitinae	1	Soil	0
BDIT049_Aderitotermes_sp.2_1	Apicotermitinae	1	Soil	0
BDIT061_Alyscotermes_kilimandjaricus_1	Apicotermitinae	1	Soil	0
BDIT062_Acholotermes_chirotus_1	Apicotermitinae	1	Soil	0
BDIT074_Aderitotermes_fossor_1	Apicotermitinae	1	Soil	0
BDIT076_Apicotermitinae_gen.A_1	Apicotermitinae	1	Soil	0
BDIT101_Anenteotermes_polyscolus_1	Apicotermitinae	1	Soil	0
BDIT109_Aderitotermes_sp_1	Apicotermitinae	1	Soil	0
BDIT112_Astalotermes_murcus_1	Apicotermitinae	1	Soil	0
BDIT120_Astalotermes_sp._1	Apicotermitinae	1	Soil	0
BRA12_Aparatermes_sp.A_1	Apicotermitinae	1	Soil	0
BRA28_Anoplotermes-group_sp.I_1	Apicotermitinae	1	Soil	0
BRA7_Patawatermes_sp.A_1	Apicotermitinae	1	Soil	0
CA12_Astalotermes_Cameroon_1	Apicotermitinae	1	Soil	0
CA15_Apicotermitinae_gen.B_Cameroon_1	Apicotermitinae	1	Soil	0
CA38_Aderitotermes_sp_Cameroon_1	Apicotermitinae	1	Soil	0
COL2012L04_Patawatermes_turricola_1	Apicotermitinae	1	Soil	0
COL2012T03_Humutermes_krishnai_1	Apicotermitinae	1	Soil	0
FG-ND2-26_Ruptitermes_nr.xanthochiton_1	Apicotermitinae	1	Soil	0
FG-ND2-33_Anoplotermes-group_sp.SB_1	Apicotermitinae	1	Soil	0
FG-ND2-43_Tetimatermes_sp.A_1	Apicotermitinae	1	Soil	0
FG-ND2-48_Ruptitermes_arboreus_1	Apicotermitinae	1	Soil	0
G13-034_Anoplotermes_parvus_1	Apicotermitinae	1	Soil	0
G13-065_Anoplotermes-group_sp.Q_1	Apicotermitinae	1	Soil	0
G13-069_Anoplotermes-group_sp.AF_1	Apicotermitinae	1	Soil	0
G13-072_Rubeotermes_jheringi_1	Apicotermitinae	1	Soil	0
G13-081_Aparatermes_nr.cingulatus_1	Apicotermitinae	1	Soil	0
G13-10_Longustitermes_manni_1	Apicotermitinae	1	Soil	0
G13-114_Compositermes_vindai_1	Apicotermitinae	1	Soil	0
G13-116_Anoplotermes_sp.E1_1	Apicotermitinae	1	Soil	0
G13-142_Anoplotermes_sp.E1_1	Apicotermitinae	1	Soil	0
G680_Anoplotermes_sp.E1_1	Apicotermitinae	1	Soil	0
G721_Anoplotermes-group_sp.AD_1	Apicotermitinae	1	Soil	0
RDCT040_Acidnotermes_praus_1	Apicotermitinae	1	Soil	0
RDCT052_Astalotermes_sp.B_1	Apicotermitinae	1	Soil	0
RDCT121_Ateuchotermes_sp.C_1	Apicotermitinae	1	Soil	0
RDCT147_Astratotermes_sp._1	Apicotermitinae	1	Soil	0
RDCT70_Ateuchotermes_retifaciens_1	Apicotermitinae	1	Soil	0
BDIT121_Alyscotermes_sp.B_1	Apicotermitinae	1	Soil	0
CA18_Amalotermes_phaeocephalus_Cameroon_1	Apicotermitinae	1	Soil	0
G13-017_Anoplotermes-group_sp.N_1	Apicotermitinae	1	Soil	0
G13-120_Patawatermes_nigripunctatus_1	Apicotermitinae	1	Soil	0
G13-122_Anoplotermes_janus_1	Apicotermitinae	1	Soil	0
RDCT046_Astalotermes_quietus_1	Apicotermitinae	1	Soil	0
CA11_Duplidentitermes_sp._1	Apicotermitinae	1	Soil	1
RDCT008_Trichotermes_ducis_1	Apicotermitinae	1	Soil	1
CA9_Jugositermes_tuberculatus_1	Apicotermitinae	1	Soil	1
T4.14A_Euhamitermes_hamatus_1	Apicotermitinae	1	Soil	1
Hodotermopsis_sjosdteti_1	Archotermopsidae	0	Wood	1
IS17_Microhodotermes_viator_1	Archotermopsidae	1	Wood	1
ISO845_Zootermopsis_angusticollis_1	Archotermopsidae	0	Wood	1
AUS2_Laxta_sp._1	Blaberidae	NA	NA	NA
B002_Aeluropoda_insignis_1	Blaberidae	NA	NA	NA
B003_Archimandrita_tesselata_1	Blaberidae	NA	NA	NA
B004_Blaberus_peruvianus_1	Blaberidae	NA	NA	NA
B007_Blaberus_cf._1	Blaberidae	NA	NA	NA
B015_Byrsotria_cabrerai_1	Blaberidae	NA	NA	NA
B017_Byrsotria_rothi_1	Blaberidae	NA	NA	NA
B020_Diploptera_punctata_1	Blaberidae	NA	NA	NA
B021_Elliptorhina_chopardi_1	Blaberidae	NA	NA	NA
B023_Elliptorhina_javanica_1	Blaberidae	NA	NA	NA
B029_Gromphadorhina_grandidieri_1	Blaberidae	NA	NA	NA
B031_Gromphadorhina_oblongonota_1	Blaberidae	NA	NA	NA
B034_Gyna_caffrorum_1	Blaberidae	NA	NA	NA
B035_Gyna_capucina_1	Blaberidae	NA	NA	NA
B041_Nauphoeta_cinerea_1	Blaberidae	NA	NA	NA
B044_Panchlora_nivea_1	Blaberidae	NA	NA	NA
B046_Phoetalia_pallida_1	Blaberidae	NA	NA	NA
B048_Pycnoscelus_femapterus_1	Blaberidae	NA	NA	NA
B050_Pycnoscelus_nigra_1	Blaberidae	NA	NA	NA
B052_Pycnoscelus_surinamensis_1	Blaberidae	NA	NA	NA
B054_Rhyparobia_sp._1	Blaberidae	NA	NA	NA
B055_Schultesia_lampyridiformis_1	Blaberidae	NA	NA	NA
B056_Blaptica_dubia_1	Blaberidae	NA	NA	NA
B103_Pycnoscelus_sp._1	Blaberidae	NA	NA	NA
B107_Neolaxta_mackerrasae_1	Blaberidae	NA	NA	NA
B115_Macropanesthia_rhinoceros_1	Blaberidae	NA	NA	NA
BLA48_Laxta_sp._1	Blaberidae	NA	NA	NA
Elliptorhina_davidi_22_1	Blaberidae	NA	NA	NA
Eublaberus_distanti_25_1	Blaberidae	NA	NA	NA
Panesthia_angustipennis_Z138PA_1	Blaberidae	NA	NA	NA
Panesthia_sp_Salganea_1	Blaberidae	NA	NA	NA
Paranauphoeta_circumda_1	Blaberidae	NA	NA	NA
Rhabdoblatta_sp_1	Blaberidae	NA	NA	NA
Z95_Rhyparobia_grandis_1	Blaberidae	NA	NA	NA
B010_Blaberus_discoidalis_1	Blaberidae	NA	NA	NA
B016_Byrsotria_fumigata_1	Blaberidae	NA	NA	NA
B032_Gromphadorhina_portentosa_1	Blaberidae	NA	NA	NA
B049_Pycnoscelus_indicus_1	Blaberidae	NA	NA	NA
B053_Rhyparobia_maderae_1	Blaberidae	NA	NA	NA
Pvii_Gromphadorhina_sp._1	Blaberidae	NA	NA	NA
B069_Deropeltis_paulinoi_1	Blattidae	NA	NA	NA
B071_Eurycotis_decipiens_1	Blattidae	NA	NA	NA
B072_Eurycotis_floridana_1	Blattidae	NA	NA	NA
B073_Eurycotis_opaca_Sunset_1	Blattidae	NA	NA	NA
B074_Eurycotis_sp._1	Blattidae	NA	NA	NA
B075_Neostylopyga_rhombifolia_1	Blattidae	NA	NA	NA
B077_Periplaneta_australasiae_1	Blattidae	NA	NA	NA
B078_Periplaneta_brunnea_1	Blattidae	NA	NA	NA
B080_Shelfordella_lateralis_1	Blattidae	NA	NA	NA
B122_Platyzosteria_nitida_1	Blattidae	NA	NA	NA
Methana_sp_AUS1_1	Blattidae	NA	NA	NA
Periplaneta_americana_1	Blattidae	NA	NA	NA
Polyzosteria_viridissima_1	Blattidae	NA	NA	NA
Protagonista_lugubris_1	Blattidae	NA	NA	NA
Cosmozosteria_sp_1	Blattidae	NA	NA	NA
Melanozosteria_sp._1	Blattidae	NA	NA	NA
PF_Periplaneta_fuliginosa_1	Blattidae	NA	NA	NA
G687_Cylindrotermes_parvignathus_1	Cephalo-group	1	Wood	1
RDCT180_Cephalotermes_rectangularis_1	Cephalo-group	1	Wood	1
TBRU3.23a_Orientotermes_emersoni_1	Cephalo-group	1	Wood	0
3.10.2AUS_Coptotermes_acinaciformis_raffrayi_Australia_1	Coptotermitinae	1	Wood	1
3.12.2.AUS_Heterotermes_cf_occiduus_1	Coptotermitinae	1	Wood	1
3_15_2_AUS_Heterotermes_occidus_Australia_1	Coptotermitinae	1	Wood	1
3.15.6AUS_Heterotermes_platycephalus_Australia_1	Coptotermitinae	1	Wood	1
AUS103_Heterotermes_cf_paradoxus_1	Coptotermitinae	1	Wood	1
AUS121_Heterotermes_cf_paradoxus_1	Coptotermitinae	1	Wood	1
AUS47_Heterotermes_vagus_Australia_1	Coptotermitinae	1	Wood	1
AUS50_Heterotermes_validus_1	Coptotermitinae	1	Wood	1
AUSTRALIANRPERTH_Coptotermes_michaelseni_1	Coptotermitinae	1	Wood	1
BDIT8-M2A_Coptotermes_amanii_1	Coptotermitinae	1	Wood	1
COL-4PUERTO_Heterotermes_nr_tenuis_1	Coptotermitinae	1	Wood	1
COPFRE_Coptotermes_frenchi_Australia_1	Coptotermitinae	1	Wood	1
G13-026_Heterotermes_crinitus_FG_1	Coptotermitinae	1	Wood	1
IND3_Heterotermes_malabaricus_1	Coptotermitinae	1	Wood	1
NG79_Coptotermes_elisae_New_Guinea_1	Coptotermitinae	1	Wood	1
RET-GRA_Reticulitermes_grassei_France_1	Coptotermitinae	1	Wood	1
Reticulitermes_aculabialis_China_1	Coptotermitinae	1	Wood	1
Reticulitermes_chinensis_China_1	Coptotermitinae	1	Wood	1
T13_Heterotermes_tenuis_FG_1	Coptotermitinae	1	Wood	1
TBRU7.17B_Heterotermes_tenuior_Brunei_1	Coptotermitinae	1	Wood	1
THAI098_Reticulitermes_sp.A_1	Coptotermitinae	1	Wood	1
BDIT27_Coptotermes_sjosdteti_Burundi_1	Coptotermitinae	1	Wood	1
BG7_Coptotermes_gestroi_1	Coptotermitinae	1	Wood	1
COL05PUERTO_Coptotermes_testaceus_Columbia_1	Coptotermitinae	1	Wood	1
COPACI_Coptotermes_acinaciformis_Australia_1	Coptotermitinae	1	Wood	1
COP-LAC_Coptotermes_lacteus_Australia_1	Coptotermitinae	1	Wood	1
Coptotermes_formosanus_1	Coptotermitinae	1	Wood	1
Coptotermes_formosanus_Iriomote_1	Coptotermitinae	1	Wood	1
Coptotermes_formosanus_Miyako_1	Coptotermitinae	1	Wood	1
E38_Coptotermes_heimi_Pakistan_1	Coptotermitinae	1	Wood	1
E48_Coptotermes_heimi_Pakistan_1	Coptotermitinae	1	Wood	1
IS13_Reticulitermes_flavipes_1	Coptotermitinae	1	Wood	1
IS57_Reticulitermes_flavipes_1	Coptotermitinae	1	Wood	1
IS59_Reticulitermes_virginicus_1	Coptotermitinae	1	Wood	1
MLA11_Coptotermes_sepangensis_1	Coptotermitinae	1	Wood	1
NG78_Coptotermes_remotus_1	Coptotermitinae	1	Wood	1
Reticulitermes_hageni_1	Coptotermitinae	1	Wood	1
SING80_Coptotermes_kalshoveni_Singapore_1	Coptotermitinae	1	Wood	1
TBRU1-3_Coptotermes_travians_Brunei_1	Coptotermitinae	1	Wood	1
US12_Coptotermes_formosanus_US_1	Coptotermitinae	1	Wood	1
G13-107_Coptotermes_testaceus_FG_1	Coptotermitinae	1	Wood	1
Heterotermes_ISO183_1	Coptotermitinae	1	Wood	1
B086_Ergaula_capucina_1	Corydiidae	NA	NA	NA
B088_Polyphaga_aegyptiaca_1	Corydiidae	NA	NA	NA
B089_Therea_olegrandjeani_1	Corydiidae	NA	NA	NA
B090_Therea_petiveriana_1	Corydiidae	NA	NA	NA
B091_Therea_regularis_1	Corydiidae	NA	NA	NA
B094_Heterogamodes_hebraica_1	Corydiidae	NA	NA	NA
B097_Arenivaga_cf._1	Corydiidae	NA	NA	NA
ES_Eupolyphaga_sinensis_1	Corydiidae	NA	NA	NA
Eupolyphaga_sinensis_81_1	Corydiidae	NA	NA	NA
Cryptocercus_hirtus_1	Cryptocercidae	NA	NA	NA
Cryptocercus_meridianus_1	Cryptocercidae	NA	NA	NA
Cryptocercus_punctulatus_sp_CR18_1	Cryptocercidae	NA	NA	NA
CR_Cryptocercus_relictus_1	Cryptocercidae	NA	NA	NA
BDIT037_Furculitermes_soyeri_1	Cubitermitinae	1	Soil	1
BDIT069_Cubitermes_nr_fulvus_1	Cubitermitinae	1	Soil	1
BDIT075_Cubitermes_fulvus_1	Cubitermitinae	1	Soil	1
BDIT106_Cubitermes_oblectatus_1	Cubitermitinae	1	Soil	1
CA1_Cubitermes_fungifaber_1	Cubitermitinae	1	Soil	1
CA35_Basidentitermes_aurivillii_Cameroon_1	Cubitermitinae	1	Soil	1
RDCT012_Furculitermes_longilabius_1	Cubitermitinae	1	Soil	1
RDCT047_Furculitermes_cubitalis_1	Cubitermitinae	1	Soil	1
RDCT051_Orthotermes_depressifrons_1	Cubitermitinae	1	Soil	1
RDCT077_Furculitermes_winifredae_1	Cubitermitinae	1	Soil	1
