Species	A_G	T_A	C_A	C_T	T_C	A_C	A_T	G_T	G_A	T_G	C_G	G_C	BranchLength	sumOfSubs	A_G_fr	T_A_fr	C_A_fr	C_T_fr	T_C_fr	A_C_fr	A_T_fr	G_T_fr	G_A_fr	T_G_fr	C_G_fr	G_C_fr	Taxonomy	Worker	diet.Wood.Soil	Soldier
3.10.2AUS_Coptotermes_acinaciformis_raffrayi_Australia_1	13	2	3	15	13	3	1	3	6	1	0	0	0.0227304288	60	0.216666666666667	0.0333333333333333	0.05	0.25	0.216666666666667	0.05	0.0166666666666667	0.05	0.1	0.0166666666666667	0	0	Coptotermitinae	1	Wood	1
3.11.1_Nasutitermes_exitiosus_1	32	5	2	21	43	10	5	1	27	3	5	0	0.0295708342	154	0.207792207792208	0.0324675324675325	0.012987012987013	0.136363636363636	0.279220779220779	0.0649350649350649	0.0324675324675325	0.00649350649350649	0.175324675324675	0.0194805194805195	0.0324675324675325	0	Nasutitermitinae	1	Wood	1
3.12.2.AUS_Heterotermes_cf_occiduus_1	36	2	4	21	25	3	6	5	23	0	1	2	0.0397923144	128	0.28125	0.015625	0.03125	0.1640625	0.1953125	0.0234375	0.046875	0.0390625	0.1796875	0	0.0078125	0.015625	Coptotermitinae	1	Wood	1
3.14.4_Amitermes_sp.1_1	6	1	1	1	6	0	1	0	1	1	0	0	0.0423746746	18	0.333333333333333	0.0555555555555556	0.0555555555555556	0.0555555555555556	0.333333333333333	0	0.0555555555555556	0	0.0555555555555556	0.0555555555555556	0	0	Amitermes-group	1	Wood	1
3_15_2_AUS_Heterotermes_occidus_Australia_1	27	4	5	31	32	4	4	4	17	1	0	2	0.0308883037	131	0.206106870229008	0.0305343511450382	0.0381679389312977	0.236641221374046	0.244274809160305	0.0305343511450382	0.0305343511450382	0.0305343511450382	0.129770992366412	0.00763358778625954	0	0.0152671755725191	Coptotermitinae	1	Wood	1
3.15.6AUS_Heterotermes_platycephalus_Australia_1	28	1	4	31	34	4	4	5	17	0	0	0	0.0372588488	128	0.21875	0.0078125	0.03125	0.2421875	0.265625	0.03125	0.03125	0.0390625	0.1328125	0	0	0	Coptotermitinae	1	Wood	1
Acroneuria_hainana_1	106	77	0	4	138	172	148	5	5	72	4	4	0.5787314442	735	0.14421768707483	0.104761904761905	0	0.0054421768707483	0.187755102040816	0.234013605442177	0.201360544217687	0.00680272108843537	0.00680272108843537	0.0979591836734694	0.0054421768707483	0.0054421768707483	NA	NA	NA	NA
Allacta_bimaculata_1	14	64	10	9	8	22	99	11	9	8	5	3	0.20339646	262	0.0534351145038168	0.244274809160305	0.0381679389312977	0.0343511450381679	0.0305343511450382	0.083969465648855	0.377862595419847	0.0419847328244275	0.0343511450381679	0.0305343511450382	0.0190839694656489	0.0114503816793893	Ectobiidae3	NA	NA	NA
Amazonina_sp._1	35	78	1	6	37	54	166	5	9	24	6	1	0.2834630206	422	0.0829383886255924	0.184834123222749	0.0023696682464455	0.014218009478673	0.0876777251184834	0.127962085308057	0.393364928909953	0.0118483412322275	0.0213270142180095	0.0568720379146919	0.014218009478673	0.0023696682464455	Ectobiidae3	NA	NA	NA
Anaplecta_calosoma_1	125	40	2	6	103	80	73	5	5	35	2	4	0.2911154777	480	0.260416666666667	0.0833333333333333	0.00416666666666667	0.0125	0.214583333333333	0.166666666666667	0.152083333333333	0.0104166666666667	0.0104166666666667	0.0729166666666667	0.00416666666666667	0.00833333333333333	Anaplectidae	NA	NA	NA
