Species	Sociality	Subs	Value
3.10.2AUS_Coptotermes_acinaciformis_raffrayi_Australia_1	2	A_T_norm	0.0342662676758787
3.11.1_Nasutitermes_exitiosus_1	2	A_T_norm	0.0680415386865584
3.12.2.AUS_Heterotermes_cf_occiduus_1	2	A_T_norm	0.0916568742655699
3.14.4_Amitermes_sp.1_1	2	A_T_norm	0.173306148055207
3_15_2_AUS_Heterotermes_occidus_Australia_1	2	A_T_norm	0.0399208407260816
3.15.6AUS_Heterotermes_platycephalus_Australia_1	2	A_T_norm	0.0643698163507109
Allacta_bimaculata_1	0	A_T_norm	0.748790560471976
Amazonina_sp._1	0	A_T_norm	1.24284136915716
Anaplecta_calosoma_1	0	A_T_norm	0.303374853614394
Anaplecta_omei_1	0	A_T_norm	0.704559344823371
Ancistrotermes_pakistanicus_Thailand_1	2	A_T_norm	0.0506415739948674
ARG2014-01_Aparatermes_sp.B_1	2	A_T_norm	0.19114984632226
AUS101_1	1	A_T_norm	0.374614652097422
AUS103_Heterotermes_cf_paradoxus_1	2	A_T_norm	0.0142952127659574
AUS104_Schedorhinotermes_sp4_Australia_1	2	A_T_norm	0.0947411003236246
AUS109_Kalotermitidae_sp_E_Australia_1	1	A_T_norm	0.294742503697728
AUS110_NODE_1_length_15815_cov_394767_ID_1911_1	1	A_T_norm	0
AUS111_1	1	A_T_norm	0.435993194738371
AUS114_Microcerotermes_sp.H_1	2	A_T_norm	0.186288878032894
AUS11_Schedorhinotermes_spA_Australia_1	2	A_T_norm	0.130284824210058
AUS121_Heterotermes_cf_paradoxus_1	2	A_T_norm	0.105746791131855
AUS18_Ephelotermes_melachoma_1	2	A_T_norm	0.151878567951498
AUS19_Ephelotermes_taylori_1	2	A_T_norm	0.201171444928877
AUS24_Nasutitermes_longipennis_1	2	A_T_norm	0.0399585921325052
AUS2_Laxta_sp._1	0	A_T_norm	0.14444671484034
AUS30_Microcerotermes_sp._1	2	A_T_norm	0.222915594441585
AUS46_Lophotermes_septentrionalis_1	2	A_T_norm	0.132277152128269
AUS47_Heterotermes_vagus_Australia_1	2	A_T_norm	0.145871575671754
AUS49_Tumulitermes_sp._1	2	A_T_norm	0.196147410871337
AUS4_Amitermes_meridionalis_1	2	A_T_norm	0.110155865463495
AUS50_Heterotermes_validus_1	2	A_T_norm	0.0715447154471545
AUS54_Nasutitermes_triodiae_1	2	A_T_norm	0.159589154564029
AUS56_Tumulitermes_pastinator_1	2	A_T_norm	0.0892730241044848
AUS57_Tumulitermes_recalvus_1	2	A_T_norm	0.21861569055103
AUS5_Tumulitermes_sp._1	2	A_T_norm	0.223681465025223
AUS62_Nasutitermes_graveolus_1	2	A_T_norm	0.0733390989857693
AUS66_Microcerotermes_sp.E_1	2	A_T_norm	0.0727798657151303
AUS6_Microcerotermes_nervosus_1	2	A_T_norm	0.138798446807997
AUS71_Microcerotermes_sp.G_1	2	A_T_norm	0.165837053571429
AUS77_Amitermes_sp.D_1	2	A_T_norm	0.129522263450835
AUS78_Amitermes_sp.E_1	2	A_T_norm	0.193122475120702
AUS82_Microcerotermes_sp.I_1	2	A_T_norm	0.0701157331981705
AUS89_NODE_1_length_15463_cov_359375_ID_1361_1	1	A_T_norm	0.485299114322604
AUS91_1	1	A_T_norm	0
AUS97_Nasutitermes_sp._1	2	A_T_norm	0.190792187842879
AUST14-12_Stolotermes_victoriensis_1	1	A_T_norm	0.576362310916712
AUSTRALIANRPERTH_Coptotermes_michaelseni_1	2	A_T_norm	0.0164655764353078
B002_Aeluropoda_insignis_1	0	A_T_norm	0.265562449271574
B003_Archimandrita_tesselata_1	0	A_T_norm	0.635195974576271
B004_Blaberus_peruvianus_1	0	A_T_norm	0.464862888482633
B007_Blaberus_cf._1	0	A_T_norm	0.307115132298272
B010_Blaberus_discoidalis_1	0	A_T_norm	0.57593552979459
B015_Byrsotria_cabrerai_1	0	A_T_norm	0.118984819178243
B016_Byrsotria_fumigata_1	0	A_T_norm	0.238633779724506
