Species	A_G	T_C	G_A	C_T	A_C	T_G	A_T	C_A	T_A	G_T	C_G	G_C
Cavitermes_tuberosus	9	6	13	8	2	1	0	0	0	0	0	0
Coptotermes_formosanus	5	6	7	4	0	0	2	1	0	0	0	0
Coptotermes_lacteus	8	18	9	24	1	0	1	1	1	0	0	0
Embiratermes_brevinasus	2	4	5	5	0	0	0	0	0	0	0	0
Embiratermes_neotenicus	0	0	4	1	0	0	0	0	0	0	0	0
Labiotermes_labralis	3	15	2	7	0	0	0	0	0	0	0	0
Macrotermes_carbonarius	0	5	3	1	1	1	0	1	0	0	0	0
Macrotermes_falciger	2	3	1	4	5	0	0	0	0	0	0	0
Macrotermes_gilvus	21	53	43	32	0	2	2	7	4	4	1	1
Macrotermes_malaccensis	2	7	7	13	1	0	3	0	4	0	0	0
Macrotermes_natalensis	1	29	9	4	4	0	1	0	3	0	0	0
Macrotermes_subhyalinus	8	28	16	28	1	0	4	3	0	0	0	0
Mastotermes_darwiniensis	1	5	2	1	1	0	0	0	0	0	0	0
Microcerotermes_crassus	6	4	5	0	0	0	0	1	0	0	0	0
Microhodotermes_viator	8	21	9	24	0	0	0	2	0	0	0	0
Nasutitermes_corniger	1	13	13	8	0	0	0	0	5	0	0	0
Nasutitermes_exitiosus	0	15	14	13	0	0	1	2	1	0	1	0
Nasutitermes_graveolus	0	4	8	6	0	0	0	2	0	0	0	0
Nasutitermes_longipennis	1	21	11	10	0	1	2	0	2	0	0	0
Nasutitermes_octopilis	0	0	0	1	0	0	0	2	0	0	0	1
Nasutitermes_similis	0	19	11	0	0	1	0	0	2	0	0	0
Nasutitermes_triodiae	10	22	14	35	0	2	0	1	0	2	1	1
Odontotermes_hainanensis	1	5	2	5	0	0	0	2	1	0	0	1
Pseudacanthotermes_spiniger	3	5	4	3	0	0	0	0	0	0	0	0
Reticulitermes_aculabialis	0	6	3	3	0	0	0	0	0	0	0	0
Reticulitermes_chinensis	10	6	8	19	1	0	2	1	0	0	0	0
Reticulitermes_flaviceps	16	17	28	27	0	1	2	1	5	0	1	2
Reticulitermes_flavipes	44	70	49	66	4	2	11	4	9	0	4	3
Reticulitermes_hageni	11	19	11	21	0	0	1	0	0	0	0	1
Reticulitermes_labralis	4	5	15	30	0	0	0	3	1	0	0	0
Reticulitermes_leptomandibularis	2	3	3	4	0	0	3	0	2	0	2	1
Reticulitermes_santonensis	5	3	3	6	1	1	0	2	0	1	0	0
Reticulitermes_virginicus	17	25	37	25	0	0	2	2	2	0	3	2
Termes_fatalis	2	7	3	4	0	0	1	0	0	0	0	0
Tumulitermes_pastinator	4	5	7	6	1	0	0	2	0	0	0	0
Zootermopsis_angusticollis	3	34	16	31	3	0	5	0	4	0	0	1
Zootermopsis_nevadensis	12	26	6	24	2	0	5	3	3	0	0	1
