Species,Family,Notes
Cavitermes_tuberosus,Termitidae,Crystall
Coptotermes_formosanus,Rhinotermitidae,
Coptotermes_lacteus,Rhinotermitidae,
Embiratermes_brevinasus,Termitidae,
Embiratermes_neotenicus,Termitidae,
Labiotermes_labralis,Termitidae,
Macrotermes_carbonarius,Termitidae,
Macrotermes_falciger,Termitidae,
Macrotermes_gilvus,Termitidae,
Macrotermes_malaccensis,Termitidae,
Macrotermes_natalensis,Termitidae,
Macrotermes_subhyalinus,Termitidae,
Mastotermes_darwiniensis,Mastotermitidae,Most primitive
Microcerotermes_crassus,Termitidae,
Microhodotermes_viator,Hodotermitidae,
Nasutitermes_corniger,Termitidae,
Nasutitermes_exitiosus,Termitidae,
Nasutitermes_graveolus,Termitidae,
Nasutitermes_longipennis,Termitidae,
Nasutitermes_octopilis,Termitidae,
Nasutitermes_similis,Termitidae,
Nasutitermes_triodiae,Termitidae,
Odontotermes_hainanensis,Termitidae,
Pseudacanthotermes_spiniger,Termitidae,
Reticulitermes_aculabialis,Rhinotermitidae,
Reticulitermes_chinensis,Rhinotermitidae,
Reticulitermes_flaviceps,Rhinotermitidae,
Reticulitermes_flavipes,Rhinotermitidae,
Reticulitermes_hageni,Rhinotermitidae,
Reticulitermes_labralis,Rhinotermitidae,
Reticulitermes_leptomandibularis,Rhinotermitidae,
Reticulitermes_santonensis,Rhinotermitidae,
Reticulitermes_virginicus,Rhinotermitidae,
Termes_fatalis,Termitidae,
Tumulitermes_pastinator,Termitidae,
Zootermopsis_angusticollis,Termopsidae,
Zootermopsis_nevadensis,Termopsidae,
