Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Cavitermes_tuberosus 0 0.0303679080511578 0.00867654515747366 0 0 0.22716772775931 0.535466786861232 0 0 0 0.198321032170827 0
Coptotermes_lacteus 0 0.0213626569206412 0.00267033211508015 0 0 0.399182086178689 0.292258313095111 0 0 0 0.284526611690479 0
Macrotermes_carbonarius 0 0 0.00990479763635511 0 0 0.437977770482578 0.382235145148431 0 0 0.0849411433663181 0.0849411433663181 0
Macrotermes_falciger 0 0.0078906580245174 0.0078906580245174 0 0 0.488234465267014 0 0 0 0 0.495984218683951 0
Macrotermes_natalensis 0.00157170498773194 0.00157170498773194 0.00314340997546387 0.04565428773888 0 0.639160028344321 0.196105917787462 0 0 0 0.11279294617841 0
Macrotermes_subhyalinus 0.00443000150117538 0.00775250262705692 0.00110750037529385 0 0 0.455117507164871 0.170920418743803 0 0 0.0349037486697871 0.325768320918013 0
Mastotermes_darwiniensis 0 0.0440996555596685 0.0440996555596685 0 0 0.465496364240945 0.304688529321346 0 0 0 0.141615795318372 0
Reticulitermes_chinensis 0.00399566052714298 0.0399566052714298 0.00399566052714298 0 0 0.17132908017901 0.288707726599523 0 0 0.0258955403629343 0.466119726532817 0
Reticulitermes_flavipes 0.00457334631050527 0.0267867426758166 0.00130667037443008 0.0282565138459137 0 0.31553107127937 0.338797174565385 0 0 0 0.284748480948579 0
Tumulitermes_pastinator 0 0.0200859399439363 0.00502148498598406 0 0 0.29949571166405 0.400235178314684 0 0 0.0393088121559065 0.235852872935439 0
Zootermopsis_angusticollis 0.00795465347228128 0.00477279208336877 0.00159093069445626 0.0184908171280199 0 0.305098482612328 0.408338878243773 0 0 0 0.253753445765773 0
Coptotermes_formosanus 0.00661540425736768 0.0330770212868384 0 0 0 0.300688354926417 0.580062092288429 0 0 0 0.0795571272409478 0
Labiotermes_labralis 0 0.0183104855933733 0 0 0 0.408595095185461 0.105067310190547 0 0 0 0.468027109030619 0
Macrotermes_gilvus 0.00112003696859982 0.0089602957487986 0 0.0311379201868111 0.00778448004670277 0.404792962428544 0.339809476821286 0.0283174564017738 0 0.0197863745997204 0.158290996797764 0
Macrotermes_malaccensis 0.00637212956289634 0.00637212956289634 0 0.0595880223989766 0 0.208558078396418 0.385832445033374 0 0 0 0.333277195045439 0
Microcerotermes_crassus 0 0.0449404538985844 0 0 0 0.496941552443013 0.388235587846104 0 0 0.0698824058122987 0 0
Microhodotermes_viator 0 0.0102521854547119 0 0 0 0.336399835232734 0.453109982150213 0 0 0.00800951988649366 0.192228477275848 0
Nasutitermes_corniger 0 0.00350789782385478 0 0.133650907088867 0 0.347492358431054 0.334127267722167 0 0 0 0.181221568934057 0
Nasutitermes_longipennis 0.00377112910582636 0.00188556455291318 0 0.0461963315463729 0.0230981657731864 0.461963315463729 0.320942934953748 0 0 0 0.142142558604224 0
Nasutitermes_triodiae 0 0.0156947658971733 0 0 0.0155275461691973 0.341606015722341 0.181921497710719 0.027987922724726 0.013993961362363 0.0108991429841481 0.381470004445184 0.0108991429841481
Pseudacanthotermes_spiniger 0 0.0149270234409553 0 0 0 0.407728881026095 0.489274657231314 0 0 0 0.0880694383016364 0
Reticulitermes_flaviceps 0.00178537824614227 0.026780673692134 0 0.0246847948814452 0.0123423974407226 0.197478359051562 0.401439593526534 0 0 0 0.33548880316146 0
Reticulitermes_hageni 0 0.0240187247632921 0 0 0 0.38733196021404 0.19834922571416 0 0.0220388028571289 0 0.368261286451379 0
Reticulitermes_labralis 0 0.0121372539406444 0 0.0242078196728237 0 0.0968312786912948 0.325430121283528 0 0 0.018668742290059 0.522724784121651 0
Reticulitermes_leptomandibularis 0.0121306645871242 0.0242613291742483 0 0.0730006065332294 0 0.219001819599688 0.438003639199376 0 0 0 0.233601940906334 0
Reticulitermes_santonensis 0 0.0428282427448322 0 0 0.0615531488751309 0.123106297750262 0.317614248195676 0.105871416065225 0 0 0.349026646368874 0
Reticulitermes_virginicus 0.00130954801015048 0.0183336721421067 0 0.0132060263621019 0 0.303738606328344 0.455312252185901 0 0.0151770750728634 0.00803845082910551 0.184884369069427 0
Termes_fatalis 0.0102457484899751 0.0204914969799501 0 0 0 0.323977633286453 0.309736858196939 0 0 0 0.335548263046683 0
Zootermopsis_nevadensis 0.0131542810993486 0.0184159935390881 0 0.0211971844000932 0 0.254366212801119 0.392771358001728 0 0 0.0125039570899426 0.287591013068681 0
Nasutitermes_exitiosus 0.00253675902388071 0 0 0.0265116188182043 0 0.397674282273064 0.364024919926882 0 0 0.0160963399967669 0.193156079961203 0
Nasutitermes_graveolus 0 0 0 0 0 0.194078128887783 0.397860164219955 0 0 0.102015426723065 0.306046280169196 0
Nasutitermes_octopilis 0 0 0 0 0 0 0 0 0 0.666666666666667 0.333333333333333 0
Odontotermes_hainanensis 0 0 0 0.0927734375 0 0.4638671875 0.0927734375 0 0.0927734375 0.04296875 0.21484375 0
Embiratermes_brevinasus 0 0 0 0 0 0.315165876777251 0.270142180094787 0 0 0 0.414691943127962 0
Embiratermes_neotenicus 0 0 0 0 0 0 0.861878453038674 0 0 0 0.138121546961326 0
Reticulitermes_aculabialis 0 0 0 0 0 0.333472280116715 0.406419341392247 0 0 0 0.260108378491038 0
Nasutitermes_similis 0 0 0 0.0631850419084462 0.0315925209542231 0.600257898130239 0.304964539007092 0 0 0 0 0
