Species	A_both	T_both	G_both	C_both	A_fr	T_fr	G_fr	C_fr	Taxonomy	Sociality	Termites
3.10.2AUS_Coptotermes_acinaciformis_raffrayi_Australia_1	1383	137	60	229	0.764510779436153	0.0757324488667772	0.033167495854063	0.126589275843007	Coptotermitinae	2	1
3.11.1_Nasutitermes_exitiosus_1	1204	186	119	268	0.677546426561621	0.104670793472144	0.0669667979741137	0.150815981992122	Nasutitermitinae	2	1
3.12.2.AUS_Heterotermes_cf_occiduus_1	1303	150	125	224	0.723085460599334	0.0832408435072142	0.0693673695893452	0.124306326304107	Coptotermitinae	2	1
3.14.4_Amitermes_sp.1_1	1261	214	68	174	0.734420500873617	0.124635993011066	0.0396039603960396	0.101339545719278	Amitermes-group	2	1
3_15_2_AUS_Heterotermes_occidus_Australia_1	1312	137	120	238	0.72606530160487	0.0758162700608744	0.0664084117321527	0.131710016602103	Coptotermitinae	2	1
3.15.6AUS_Heterotermes_platycephalus_Australia_1	1300	148	119	225	0.725446428571429	0.0825892857142857	0.06640625	0.125558035714286	Coptotermitinae	2	1
Allacta_bimaculata_1	862	320	15	66	0.682501979414093	0.253365003958828	0.0118764845605701	0.0522565320665083	Ectobiidae3	0	0
Amazonina_sp._1	666	539	35	208	0.459944751381215	0.372237569060773	0.024171270718232	0.143646408839779	Ectobiidae3	0	0
Anaplecta_calosoma_1	963	211	214	324	0.5625	0.123247663551402	0.125	0.189252336448598	Anaplectidae	0	0
Anaplecta_omei_1	935	338	107	211	0.587680703959774	0.212445003142678	0.0672532998114393	0.132620993086109	Anaplectidae	0	0
Ancistrotermes_pakistanicus_Thailand_1	1278	150	139	247	0.7045203969129	0.0826901874310915	0.0766262403528115	0.136163175303197	Macrotermitinae	2	1
ARG2014-01_Aparatermes_sp.B_1	1271	225	98	146	0.730459770114943	0.129310344827586	0.0563218390804598	0.0839080459770115	Apicotermitinae	2	1
AUS101_1	1150	291	50	155	0.698663426488457	0.176792223572296	0.0303766707168894	0.0941676792223572	Kalotermitidae	1	1
AUS103_Heterotermes_cf_paradoxus_1	1308	154	101	223	0.732362821948488	0.0862262038073908	0.0565509518477044	0.124860022396417	Coptotermitinae	2	1
AUS104_Schedorhinotermes_sp4_Australia_1	1297	145	97	250	0.724986025712689	0.0810508664058133	0.0542202347680268	0.139742873113471	Rhinotermitinae	2	1
AUS109_Kalotermitidae_sp_E_Australia_1	1212	236	41	189	0.722288438617402	0.140643623361144	0.0244338498212157	0.112634088200238	Kalotermitidae	1	1
AUS110_NODE_1_length_15815_cov_394767_ID_1911_1	1111	210	115	261	0.65468473777254	0.123747790218032	0.0677666470241603	0.153800824985268	Kalotermitidae	1	1
AUS111_1	1087	245	97	216	0.660790273556231	0.148936170212766	0.0589665653495441	0.131306990881459	Kalotermitidae	1	1
AUS114_Microcerotermes_sp.H_1	1239	213	103	205	0.703977272727273	0.121022727272727	0.0585227272727273	0.116477272727273	Microcerotermes	2	1
AUS11_Schedorhinotermes_spA_Australia_1	1307	142	89	250	0.730984340044743	0.0794183445190157	0.0497762863534676	0.139821029082774	Rhinotermitinae	2	1
AUS121_Heterotermes_cf_paradoxus_1	1307	140	116	233	0.727728285077951	0.0779510022271715	0.0645879732739421	0.129732739420935	Coptotermitinae	2	1
AUS18_Ephelotermes_melachoma_1	1205	204	125	229	0.683494044242768	0.115711854792967	0.0709018718094158	0.12989222915485	Termes-group	2	1
AUS19_Ephelotermes_taylori_1	1238	200	101	223	0.70261066969353	0.113507377979569	0.0573212258796822	0.126560726447219	Termes-group	2	1
AUS24_Nasutitermes_longipennis_1	1243	178	92	261	0.700676437429538	0.100338218714769	0.0518602029312289	0.147125140924464	Nasutitermitinae	2	1
AUS2_Laxta_sp._1	823	409	37	226	0.550501672240803	0.273578595317726	0.0247491638795987	0.151170568561873	Blaberidae	0	0
AUS30_Microcerotermes_sp._1	1244	210	109	212	0.700845070422535	0.11830985915493	0.0614084507042254	0.11943661971831	Microcerotermes	2	1
AUS46_Lophotermes_septentrionalis_1	1263	191	90	229	0.712351945854484	0.107727016356458	0.050761421319797	0.129159616469261	Termes-group	2	1
AUS47_Heterotermes_vagus_Australia_1	1236	141	190	281	0.668831168831169	0.0762987012987013	0.102813852813853	0.152056277056277	Coptotermitinae	2	1
AUS49_Tumulitermes_sp._1	1244	196	96	217	0.709640616086708	0.111808328579578	0.0547632629777524	0.123787792355961	Nasutitermitinae	2	1
AUS4_Amitermes_meridionalis_1	1244	213	78	198	0.717830351990768	0.122908251586844	0.0450086555106751	0.114252740911714	Amitermes-group	2	1
AUS50_Heterotermes_validus_1	1316	157	100	220	0.733965421081985	0.0875627440044618	0.0557724484104852	0.122699386503067	Coptotermitinae	2	1
AUS54_Nasutitermes_triodiae_1	1226	210	75	258	0.693046919163369	0.118711136235161	0.0423968343697004	0.145845110231769	Nasutitermitinae	2	1
AUS56_Tumulitermes_pastinator_1	1225	184	104	261	0.690529875986471	0.103720405862458	0.0586245772266065	0.147125140924464	Nasutitermitinae	2	1
AUS57_Tumulitermes_recalvus_1	1240	197	81	225	0.711417096959266	0.113023522662077	0.0464716006884682	0.129087779690189	Nasutitermitinae	2	1
AUS5_Tumulitermes_sp._1	1238	187	91	240	0.70501138952164	0.106492027334852	0.0518223234624146	0.136674259681093	Nasutitermitinae	2	1
AUS62_Nasutitermes_graveolus_1	1227	181	100	278	0.687010078387458	0.101343784994401	0.0559910414333707	0.15565509518477	Nasutitermitinae	2	1
AUS66_Microcerotermes_sp.E_1	1225	174	142	231	0.691309255079007	0.0981941309255079	0.0801354401805869	0.130361173814898	Microcerotermes	2	1
AUS6_Microcerotermes_nervosus_1	1247	194	121	201	0.707317073170732	0.110039705048213	0.0686330119115145	0.114010209869541	Microcerotermes	2	1
AUS71_Microcerotermes_sp.G_1	1247	207	104	204	0.707718501702611	0.117480136208854	0.0590238365493757	0.11577752553916	Microcerotermes	2	1
AUS77_Amitermes_sp.D_1	1232	209	92	203	0.709677419354839	0.120391705069124	0.0529953917050691	0.116935483870968	Amitermes-group	2	1
AUS78_Amitermes_sp.E_1	1236	220	92	190	0.711162255466053	0.126582278481013	0.0529344073647871	0.109321058688147	Amitermes-group	2	1
AUS82_Microcerotermes_sp.I_1	1263	196	115	210	0.707959641255605	0.109865470852018	0.0644618834080718	0.117713004484305	Microcerotermes	2	1
AUS89_NODE_1_length_15463_cov_359375_ID_1361_1	1060	245	118	239	0.637785800240674	0.147412755716005	0.0709987966305656	0.143802647412756	Kalotermitidae	1	1
AUS91_1	1210	182	86	179	0.730235365117683	0.109837054918527	0.051901025950513	0.108026554013277	Kalotermitidae	1	1
AUS97_Nasutitermes_sp._1	1219	201	120	228	0.68947963800905	0.11368778280543	0.0678733031674208	0.1289592760181	Nasutitermitinae	2	1
AUST14-12_Stolotermes_victoriensis_1	1102	262	51	175	0.693081761006289	0.164779874213836	0.0320754716981132	0.110062893081761	Stolotermitidae	1	1
AUSTRALIANRPERTH_Coptotermes_michaelseni_1	1340	140	101	237	0.737073707370737	0.077007700770077	0.0555555555555556	0.13036303630363	Coptotermitinae	2	1
B002_Aeluropoda_insignis_1	688	549	92	235	0.439897698209719	0.351023017902813	0.0588235294117647	0.150255754475703	Blaberidae	0	0
B003_Archimandrita_tesselata_1	743	527	72	170	0.491402116402116	0.348544973544974	0.0476190476190476	0.112433862433862	Blaberidae	0	0
B004_Blaberus_peruvianus_1	820	481	34	160	0.548494983277592	0.321739130434783	0.022742474916388	0.107023411371237	Blaberidae	0	0
B007_Blaberus_cf._1	804	496	63	152	0.530693069306931	0.327392739273927	0.0415841584158416	0.1003300330033	Blaberidae	0	0
B010_Blaberus_discoidalis_1	785	535	48	145	0.518836748182419	0.353602115003305	0.03172504957039	0.0958360872438863	Blaberidae	0	0
B015_Byrsotria_cabrerai_1	769	482	96	238	0.485173501577287	0.30410094637224	0.0605678233438486	0.150157728706625	Blaberidae	0	0
B016_Byrsotria_fumigata_1	772	493	94	201	0.494871794871795	0.316025641025641	0.0602564102564103	0.128846153846154	Blaberidae	0	0
B017_Byrsotria_rothi_1	768	508	92	207	0.487619047619048	0.322539682539683	0.0584126984126984	0.131428571428571	Blaberidae	0	0
B020_Diploptera_punctata_1	770	488	103	237	0.481852315394243	0.305381727158949	0.0644555694618273	0.148310387984981	Blaberidae	0	0
B021_Elliptorhina_chopardi_1	685	557	96	240	0.434093789607098	0.35297845373891	0.0608365019011407	0.152091254752852	Blaberidae	0	0
B023_Elliptorhina_javanica_1	650	572	97	242	0.416399743754004	0.366431774503523	0.0621396540679052	0.155028827674568	Blaberidae	0	0
B029_Gromphadorhina_grandidieri_1	681	531	82	288	0.430467762326169	0.335651074589128	0.0518331226295828	0.18204804045512	Blaberidae	0	0
B031_Gromphadorhina_oblongonota_1	689	545	71	259	0.440537084398977	0.34846547314578	0.0453964194373402	0.165601023017903	Blaberidae	0	0
B034_Gyna_caffrorum_1	748	556	49	214	0.477345245692406	0.354818123803446	0.0312699425654116	0.136566687938736	Blaberidae	0	0
B035_Gyna_capucina_1	731	535	68	245	0.462951234958835	0.338822039265358	0.0430652311589614	0.155161494616846	Blaberidae	0	0
B041_Nauphoeta_cinerea_1	719	566	76	183	0.465673575129534	0.366580310880829	0.0492227979274611	0.118523316062176	Blaberidae	0	0
B044_Panchlora_nivea_1	738	463	103	212	0.486807387862797	0.305408970976253	0.0679419525065963	0.139841688654354	Blaberidae	0	0
B046_Phoetalia_pallida_1	734	532	50	160	0.497289972899729	0.360433604336043	0.0338753387533875	0.10840108401084	Blaberidae	0	0
B048_Pycnoscelus_femapterus_1	797	487	43	150	0.53960731211916	0.329722410291131	0.029113067027759	0.10155721056195	Blaberidae	0	0
B050_Pycnoscelus_nigra_1	815	528	45	157	0.527508090614887	0.341747572815534	0.029126213592233	0.101618122977346	Blaberidae	0	0
B052_Pycnoscelus_surinamensis_1	803	491	58	175	0.525867714472823	0.321545514079895	0.0379829731499673	0.114603798297315	Blaberidae	0	0
B053_Rhyparobia_maderae_1	751	548	35	171	0.499003322259136	0.364119601328904	0.0232558139534884	0.113621262458472	Blaberidae	0	0
B054_Rhyparobia_sp._1	755	552	46	158	0.499669093315685	0.365320979483786	0.0304434149569821	0.104566512243547	Blaberidae	0	0
B055_Schultesia_lampyridiformis_1	748	547	37	90	0.526019690576653	0.384669479606188	0.0260196905766526	0.0632911392405063	Blaberidae	0	0
B056_Blaptica_dubia_1	791	462	74	187	0.522457067371202	0.305151915455746	0.0488771466314399	0.123513870541612	Blaberidae	0	0
B058_Asiablatta_kyotensis_1	791	485	39	132	0.546648237733241	0.335176226675881	0.0269523151347616	0.0912232204561161	Ectobiidae1	0	0
B061_Paratemnopteryx_couloniana_1	783	442	36	191	0.539256198347107	0.304407713498623	0.0247933884297521	0.131542699724518	Ectobiidae1	0	0
B062_Parcoblatta_divisa_1	800	474	57	98	0.559832050384884	0.331700489853044	0.039888033589923	0.0685794261721484	Ectobiidae1	0	0
B063_Parcoblatta_lata_1	757	483	57	120	0.534227240649259	0.340860973888497	0.0402258292166549	0.0846859562455893	Ectobiidae1	0	0
B064_Parcoblatta_pennsylvanica_1	786	483	41	109	0.553911205073996	0.340380549682875	0.0288935870331219	0.076814658210007	Ectobiidae1	0	0
B066_Symploce_macroptera_1	849	471	34	101	0.583505154639175	0.323711340206186	0.0233676975945017	0.0694158075601375	Ectobiidae1	0	0
B067_Symploce_pallens_1	850	437	45	88	0.598591549295775	0.307746478873239	0.0316901408450704	0.0619718309859155	Ectobiidae1	0	0
B068_Blatta_orientalis_1	959	313	31	82	0.692418772563177	0.225992779783393	0.0223826714801444	0.0592057761732852	Blattidae	0	0
B069_Deropeltis_paulinoi_1	859	352	26	62	0.661277906081601	0.270977675134719	0.0200153964588145	0.0477290223248653	Blattidae	0	0
B071_Eurycotis_decipiens_1	823	407	41	79	0.60962962962963	0.301481481481481	0.0303703703703704	0.0585185185185185	Blattidae	0	0
B072_Eurycotis_floridana_1	811	412	82	125	0.567132867132867	0.288111888111888	0.0573426573426573	0.0874125874125874	Blattidae	0	0
B073_Eurycotis_opaca_Sunset_1	842	404	57	114	0.594213126323218	0.285109386026817	0.0402258292166549	0.0804516584333098	Blattidae	0	0
B074_Eurycotis_sp._1	884	399	25	82	0.635971223021583	0.28705035971223	0.0179856115107914	0.0589928057553957	Blattidae	0	0
B075_Neostylopyga_rhombifolia_1	888	357	38	113	0.636103151862464	0.255730659025788	0.0272206303724928	0.080945558739255	Blattidae	0	0
B077_Periplaneta_australasiae_1	898	374	46	92	0.636879432624114	0.265248226950355	0.0326241134751773	0.0652482269503546	Blattidae	0	0
B078_Periplaneta_brunnea_1	920	358	49	97	0.646067415730337	0.251404494382022	0.0344101123595506	0.0681179775280899	Blattidae	0	0
B080_Shelfordella_lateralis_1	933	350	42	120	0.645674740484429	0.242214532871972	0.0290657439446367	0.0830449826989619	Blattidae	0	0
B082_Ischnoptera_bilunata_1	885	417	47	96	0.612456747404844	0.288581314878893	0.0325259515570934	0.0664359861591696	Ectobiidae1	0	0
B083_Ischnoptera_deropeltiformis_1	910	376	69	139	0.609103078982597	0.251673360107095	0.0461847389558233	0.0930388219544846	Ectobiidae1	0	0
B084_Ischnoptera_sp._1	949	307	65	159	0.641216216216216	0.207432432432432	0.0439189189189189	0.107432432432432	Ectobiidae1	0	0
B086_Ergaula_capucina_1	855	414	40	153	0.584815321477428	0.283173734610123	0.027359781121751	0.104651162790698	Corydiidae	0	0
B088_Polyphaga_aegyptiaca_1	906	323	41	206	0.613821138211382	0.218834688346883	0.0277777777777778	0.139566395663957	Corydiidae	0	0
B089_Therea_olegrandjeani_1	891	382	58	155	0.599596231493943	0.257065948855989	0.0390309555854643	0.104306864064603	Corydiidae	0	0
B090_Therea_petiveriana_1	875	422	68	157	0.574901445466491	0.277266754270696	0.0446780551905388	0.103153745072273	Corydiidae	0	0
B091_Therea_regularis_1	903	408	58	160	0.590582079790713	0.266841072596468	0.0379332897318509	0.104643557880968	Corydiidae	0	0
B094_Heterogamodes_hebraica_1	948	330	19	170	0.646216768916155	0.224948875255624	0.0129516019086571	0.115882753919564	Corydiidae	0	0
B096_Lobopterella_dimidiatipes_1	832	430	19	165	0.575380359612725	0.297372060857538	0.0131396957123098	0.114107883817427	Ectobiidae1	0	0
B097_Arenivaga_cf._1	733	487	25	80	0.553207547169811	0.367547169811321	0.0188679245283019	0.060377358490566	Corydiidae	0	0
B099_Parcoblatta_fulvescens_1	816	440	30	88	0.593886462882096	0.320232896652111	0.0218340611353712	0.0640465793304221	Ectobiidae1	0	0
B100_Parcoblatta_uhleriana_1	781	498	47	95	0.549612948627727	0.35045742434905	0.0330752990851513	0.0668543279380718	Ectobiidae1	0	0
B101_Parcoblatta_bolliana_1	745	512	47	110	0.526874115983027	0.362093352192362	0.0332390381895332	0.0777934936350778	Ectobiidae1	0	0
B103_Pycnoscelus_sp._1	797	483	65	184	0.521255722694572	0.315892740353172	0.0425114453891432	0.120340091563113	Blaberidae	0	0
B107_Neolaxta_mackerrasae_1	797	471	32	180	0.538513513513514	0.318243243243243	0.0216216216216216	0.121621621621622	Blaberidae	0	0
B115_Macropanesthia_rhinoceros_1	757	480	57	176	0.514965986394558	0.326530612244898	0.0387755102040816	0.119727891156463	Blaberidae	0	0
B122_Platyzosteria_nitida_1	836	441	25	71	0.608885651857247	0.321194464675892	0.0182083029861617	0.0517115804806992	Blattidae	0	0
B124_Tryonicus_mackerrasae_1	890	401	48	107	0.615491009681881	0.27731673582296	0.033195020746888	0.0739972337482711	Tryonicidae	0	0
BA2929_NODE_6_length_15590_cov_330713_ID_1249685_1	1041	255	130	218	0.633211678832117	0.155109489051095	0.0790754257907543	0.132603406326034	Kalotermitidae	1	1
BA3121_NODE_84_length_15754_cov_340293_ID_1927933_1	1017	157	251	338	0.576857629041407	0.0890527509926262	0.142370958593307	0.19171866137266	Kalotermitidae	1	1
Balta_sp._1	758	361	17	82	0.622331691297209	0.296387520525452	0.0139573070607553	0.0673234811165846	Ectobiidae3	0	0
BB_Ectobiidae_1	748	532	47	87	0.528995756718529	0.376237623762376	0.0332390381895332	0.0615275813295615	Ectobiidae1	0	0
BBI_Blattella_bisignata_1	743	504	56	124	0.520672740014015	0.353188507358094	0.0392431674842327	0.086895585143658	Ectobiidae1	0	0
BDIT020_Microtermes_sp_Burundi_1	1303	138	124	249	0.718302094818082	0.0760749724366042	0.0683572216097023	0.137265711135612	Macrotermitinae	2	1
BDIT022_Microcerotermes_parvus_1	1210	208	132	210	0.6875	0.118181818181818	0.075	0.119318181818182	Microcerotermes	2	1
BDIT023_Pseudacanthotermes_spiniger_Burundi_1	1315	144	48	245	0.750570776255708	0.0821917808219178	0.0273972602739726	0.139840182648402	Macrotermitinae	2	1
BDIT026_Promirotermes_pygmaeus_1	1215	173	121	268	0.683736634777715	0.0973550928531232	0.06809229037704	0.150815981992122	Promiro	2	1
BDIT034_Termes_hospes_1	1247	169	124	230	0.704519774011299	0.0954802259887006	0.0700564971751412	0.129943502824859	Termes-group	2	1
BDIT037_Furculitermes_soyeri_1	1122	207	185	281	0.625069637883008	0.115320334261838	0.103064066852368	0.156545961002786	Cubitermitinae	2	1
BDIT041_Nasutitermes_arborum_1	1253	170	89	256	0.708710407239819	0.0961538461538462	0.0503393665158371	0.144796380090498	Nasutitermitinae	2	1
BDIT049_Aderitotermes_sp.2_1	1254	215	94	168	0.724436741767764	0.12420566146736	0.0543038705950318	0.097053726169844	Apicotermitinae	2	1
BDIT051_Microtermes_sp_Burundi_1	1282	144	119	255	0.712222222222222	0.08	0.0661111111111111	0.141666666666667	Macrotermitinae	2	1
BDIT061_Alyscotermes_kilimandjaricus_1	1168	232	120	195	0.681049562682216	0.135276967930029	0.0699708454810496	0.113702623906706	Apicotermitinae	2	1
BDIT062_Acholotermes_chirotus_1	1269	175	96	228	0.717760180995475	0.0989819004524887	0.0542986425339367	0.1289592760181	Apicotermitinae	2	1
BDIT064_Macrotermes_sp.A_1	1352	133	74	210	0.764273600904466	0.075183719615602	0.0418315432447711	0.118711136235161	Macrotermitinae	2	1
BDIT069_Cubitermes_nr_fulvus_1	1223	228	93	179	0.709808473592571	0.132327336041788	0.0539756239117818	0.10388856645386	Cubitermitinae	2	1
BDIT073_Promirotermes_sp.A_1	1169	175	151	281	0.658220720720721	0.098536036036036	0.0850225225225225	0.158220720720721	Promiro	2	1
BDIT074_Aderitotermes_fossor_1	1240	178	104	227	0.708976558033162	0.101772441395083	0.0594625500285878	0.129788450543168	Apicotermitinae	2	1
BDIT075_Cubitermes_fulvus_1	1188	234	98	177	0.700058927519151	0.137890394814378	0.0577489687684149	0.104301708898055	Cubitermitinae	2	1
BDIT076_Apicotermitinae_gen.A_1	1202	220	108	207	0.691997697179044	0.126655152561888	0.0621761658031088	0.119170984455959	Apicotermitinae	2	1
BDIT078_Cubitermes_ugandensis_1	1224	241	76	143	0.726840855106888	0.143111638954869	0.0451306413301663	0.084916864608076	Cubitermitinae	2	1
BDIT087_Odontotermes_sp._1	1263	121	151	275	0.697790055248619	0.0668508287292818	0.0834254143646409	0.151933701657459	Macrotermitinae	2	1
BDIT089_Microcerotermes_progrediens_1	1251	165	132	246	0.697324414715719	0.0919732441471572	0.0735785953177258	0.137123745819398	Microcerotermes	2	1
