;Species;Gene;GeneName;Ala;Arg;Asn;Asp;Cys;Gln;Glu;Gly;His;Ile;Leu;Lys;Met;Phe;Pro;Ser;Thr;Trp;Tyr;Val
0;;COX1;cytochrome c oxidase subunit 1 [Parrhinotermes microdentiformis];39;9;20;14;2;10;10;44;15;41;56;9;35;42;27;42;37;15;15;33
1;;COX1;cytochrome c oxidase subunit 1 [Dolichorhinotermes longilabius];40;9;19;14;2;10;10;44;15;42;59;9;33;42;27;42;37;15;15;31
2;;COX1;cytochrome c oxidase subunit 1 [Astratotermes sp. RDCT147];38;10;18;14;2;7;10;46;16;39;57;9;32;45;27;40;38;15;15;36
3;;COX1;cytochrome c oxidase subunit 1 [Prorhinotermes canalifrons];40;9;18;14;2;10;10;46;16;38;58;10;34;42;26;43;34;15;13;37
4;;COX1;cytochrome c oxidase subunit 1 [Aderitotermes sp. TB-2014];38;10;19;14;2;7;10;45;16;39;57;9;32;45;27;40;39;15;15;36
5;;COX1;cytochrome c oxidase subunit I [Astalotermes murcus];38;10;18;14;2;7;10;45;16;39;57;9;32;45;27;40;39;15;15;36
6;;COX1;cytochrome c oxidase subunit I, partial [Prorhinotermes simplex];37;9;18;14;2;10;10;46;16;41;58;10;33;42;26;44;36;15;13;35
7;;COX1;cytochrome c oxidase subunit I [Zootermopsis nevadensis];34;8;16;15;1;9;10;45;17;47;58;11;33;38;26;47;37;15;16;29
8;;COX1;cytochrome c oxidase subunit I [Heterotermes cf. occiduus 3.15.2AUS];40;9;19;14;2;10;10;44;15;41;56;8;33;43;27;45;35;15;15;34
9;;COX1;cytochrome c oxidase subunit I [Eupolyphaga sinensis];38;8;19;14;2;12;11;43;15;45;60;9;32;40;26;44;30;15;17;34
10;;COX1;cytochrome c oxidase subunit 1 [Termitogeton planus];40;9;18;14;2;10;10;43;16;38;57;10;34;40;27;46;37;15;14;34
11;;COX1;cytochrome c oxidase subunit I [Heterotermes tenuis];40;9;19;14;2;10;10;44;15;41;55;9;33;44;27;44;36;15;15;33
12;;COX1;cytochrome c oxidase subunit I [Heterotermes platycephalus];40;9;19;14;2;10;10;44;15;40;57;9;32;43;27;44;36;15;15;34
13;;COX1;cytochrome c oxidase subunit I [Coptotermes amanii];40;9;20;14;2;10;10;44;17;42;57;9;31;44;27;43;36;15;14;32
14;;COX1;cytochrome c oxidase subunit 1 [Glyptotermes satsumensis];38;10;18;14;2;10;10;45;15;44;60;8;31;39;27;42;35;15;16;35
15;;COX1;cytochrome c oxidase subunit I [Heterotermes nr. tenuis COL.4PUERTO];40;9;20;14;2;10;10;44;15;41;55;9;33;44;27;43;36;15;15;33
16;;COX1;cytochrome c oxidase subunit 1 [Ateuchotermes sp. TB-2014];39;10;18;14;2;7;10;45;16;39;58;9;32;44;27;41;38;15;15;36
17;;COX1;cytochrome c oxidase subunit 1 [Apicotermitinae gen. A sp. TB-2017];39;10;18;14;2;7;10;45;16;39;58;9;32;44;27;40;38;15;15;36
18;;COX1;cytochrome c oxidase subunit 1 [Stylotermes sp. TW5238];37;9;20;14;2;9;10;44;16;41;55;8;33;43;27;43;38;15;15;33
19;;COX1;cytochrome c oxidase subunit I [Coptotermes michaelseni];40;9;20;14;2;10;10;44;15;42;57;9;31;44;27;43;36;15;15;32
20;;COX1;cytochrome c oxidase subunit 1 [Coptotermes sjoestedti];40;9;20;14;2;10;10;44;16;42;57;9;31;44;27;43;36;15;15;32
21;;COX1;cytochrome c oxidase subunit 1 [Glyptotermes sp. C TB-2014];38;10;17;14;2;9;10;44;17;44;58;10;33;39;27;42;35;15;14;36
22;;COX1;cytochrome c oxidase subunit I [Porotermes adamsoni];36;9;18;14;1;11;10;45;16;41;58;9;35;40;27;43;37;15;15;33
23;;COX1;cytochrome c oxidase subunit I [Periplaneta fuliginosa];40;9;18;14;2;11;10;45;15;46;58;8;32;40;28;43;30;15;16;32
24;;COX1;cytochrome c oxidase subunit I, partial [Periplaneta brunnea];40;9;18;14;2;11;10;45;15;44;58;8;31;40;28;43;31;15;16;34
25;;COX1;cytochrome c oxidase subunit 1 [Odontotermes sp. K TB-2017];37;10;17;14;2;8;10;45;17;38;56;10;34;42;27;42;39;15;15;37
26;;COX1;cytochrome c oxidase subunit I [Periplaneta australasiae];40;9;18;14;2;11;10;45;15;45;57;8;32;40;28;43;30;15;16;33
27;;COX1;cytochrome c oxidase subunit 1 [Incisitermes minor];37;9;19;15;2;10;10;45;15;45;60;8;29;40;27;41;36;15;16;35
28;;COX1;cytochrome c oxidase subunit I [Neotermes insularis];40;9;18;14;2;11;10;45;15;44;59;9;30;40;27;44;35;15;16;34
29;;COX1;cytochrome c oxidase subunit 1 [Astalotermes sp. TB-2014];40;10;18;14;2;7;10;45;16;38;59;8;32;44;27;40;38;15;15;36
30;;COX1;cytochrome c oxidase subunit I [Anoplotermes parvus];38;10;18;14;2;7;10;45;16;39;58;9;32;44;27;40;39;15;15;36
31;;COX1;cytochrome c oxidase subunit 1 [Aderitotermes cf. fossor BDIT074];38;10;17;14;2;8;10;45;16;39;58;9;32;44;27;41;39;15;15;36
32;;COX1;cytochrome c oxidase subunit I [Odontotermes obesus];38;10;17;14;2;8;10;45;17;38;56;10;34;42;27;41;40;15;15;36
33;;COX1;cytochrome c oxidase subunit I [Compositermes vindai];38;10;18;14;2;7;10;45;16;39;58;9;32;44;27;40;39;15;15;36
34;;COX1;cytochrome c oxidase subunit 1 [Anoplotermes group nr. E1 TB-2014];38;10;18;14;2;7;10;45;16;39;58;9;32;44;27;40;39;15;15;36
35;;COX1;cytochrome c oxidase subunit I [Hypotermes makhamensis];38;10;17;14;2;8;10;45;17;38;56;10;35;42;27;41;39;15;15;36
36;;COX1;cytochrome c oxidase subunit 1 [Anoplotermes sp. E1 TB-2017];38;10;18;14;2;7;10;45;16;38;57;9;32;44;28;40;39;15;15;37
37;;COX1;cytochrome c oxidase subunit I [Anoplotermes janus];38;10;18;14;2;7;10;45;16;38;58;9;32;44;27;40;39;15;15;37
38;;COX1;cytochrome c oxidase subunit 1 [Ateuchotermes sp. C TB-2017];38;10;18;14;2;7;10;45;17;39;58;9;32;44;27;40;39;15;15;36
39;;COX1;cytochrome c oxidase subunit 1 [Nasutitermes sp. AUS97];39;10;18;14;2;7;10;45;16;39;58;8;32;44;28;42;37;15;15;35
40;;COX1;cytochrome c oxidase subunit I [Tumulitermes recalvus];38;10;18;14;2;7;10;45;16;39;58;9;32;44;28;41;38;15;15;35
41;;COX1;cytochrome c oxidase subunit 1 [Rugitermes sp. A TB-2014];36;9;20;14;2;10;10;45;15;45;59;9;35;39;27;40;37;15;16;32
42;;COX1;cytochrome c oxidase subunit I [Longustitermes manni];38;10;18;14;2;7;10;45;16;38;58;9;32;44;27;40;39;15;15;37
43;;COX1;cytochrome c oxidase subunit 1 [Anoplotermes group sp. Q TB-2017];38;10;18;14;2;7;10;45;16;37;58;9;32;44;27;40;39;15;15;38
44;;COX1;cytochrome c oxidase subunit I [Acholotermes chirotus];37;10;18;14;2;7;10;46;16;39;58;9;32;44;27;40;39;15;15;36
45;;COX1;cytochrome c oxidase subunit 1 [Odontotermes sp. BDIT9-1.3A];39;10;17;14;2;8;10;46;17;38;59;9;31;42;27;40;40;15;15;36
46;;COX1;cytochrome c oxidase subunit 1 [Syntermes spinosus];36;10;20;14;2;7;10;45;16;39;61;8;31;43;27;40;40;15;15;35
47;;COX1;cytochrome c oxidase subunit I [Heterotermes vagus];40;9;18;14;2;10;10;44;15;42;55;9;33;44;27;44;36;15;15;32
48;;COX1;cytochrome c oxidase subunit I [Macrotermes subhyalinus];39;10;18;14;2;8;10;45;16;38;56;9;34;44;27;41;38;15;15;35
49;;COX1;cytochrome c oxidase subunit 1 [Odontotermes sp. BDIT085];39;10;17;14;2;8;10;46;17;38;59;9;32;42;27;40;40;15;15;35
50;;COX1;cytochrome c oxidase subunit 1 [Cyrilliotermes angulariceps];36;10;18;14;2;7;10;45;16;39;57;9;34;44;27;40;41;15;15;35
51;;COX1;cytochrome c oxidase subunit 1 [Odontotermes sp. C TB-2017];38;10;17;14;2;8;10;45;17;38;57;10;33;42;27;42;39;15;15;36
52;;COX1;cytochrome c oxidase subunit 1 [Odontotermes sp. BDIT086];38;10;17;14;2;8;10;46;17;38;58;9;32;42;27;40;41;15;15;36
53;;COX1;cytochrome c oxidase subunit 1 [Anoplotermes group sp. AD TB-2017];38;10;18;14;2;7;10;45;16;38;58;9;32;43;27;41;38;15;16;37
54;;COX1;cytochrome c oxidase subunit I [Pseudacanthotermes militaris];38;10;18;14;2;8;10;45;16;38;58;9;31;43;27;42;40;15;15;35
55;;COX1;cytochrome c oxidase subunit I [Amitermes dentatus];37;10;19;14;2;7;10;45;16;41;56;9;32;44;27;41;37;15;15;37
56;;COX1;cytochrome c oxidase subunit 1 [Microcerotermes sp. B TB-2017];36;10;18;14;2;7;10;45;16;39;60;9;31;44;27;40;41;15;15;35
57;;COX1;cytochrome c oxidase subunit 1 [Aparatermes nr. cingulatus G13-81];38;10;18;14;2;7;10;46;16;37;58;9;32;44;27;40;38;15;15;38
58;;COX1;cytochrome c oxidase subunit 1 [Procapritermes sp. G TB-2017];39;10;18;14;2;7;10;44;16;39;58;9;35;44;27;39;41;15;15;32
