"Species";"Gainers";"Losers"
"[Parrhinotermes microdentiformis]";118;192
"[Dolichorhinotermes longilabius]";117;193
"[Astratotermes sp. RDCT147]";115;201
"[Prorhinotermes canalifrons]";114;200
"[Aderitotermes sp. TB-2014]";117;200
"[Astalotermes murcus]";116;200
"partial [Prorhinotermes simplex]";116;198
"[Zootermopsis nevadensis]";116;186
"[Heterotermes cf. occiduus 3.15.2AUS]";114;194
"[Eupolyphaga sinensis]";111;194
"[Termitogeton planus]";118;191
"[Heterotermes tenuis]";116;193
"[Heterotermes platycephalus]";116;195
"[Coptotermes amanii]";119;194
"[Glyptotermes satsumensis]";113;196
"[Heterotermes nr. tenuis COL.4PUERTO]";117;193
"[Ateuchotermes sp. TB-2014]";115;200
"[Apicotermitinae gen. A sp. TB-2017]";115;200
"[Stylotermes sp. TW5238]";118;192
"[Coptotermes michaelseni]";117;194
"[Coptotermes sjoestedti]";118;194
"[Glyptotermes sp. C TB-2014]";115;194
"[Porotermes adamsoni]";118;192
"[Periplaneta fuliginosa]";110;192
"partial [Periplaneta brunnea]";111;194
"[Odontotermes sp. K TB-2017]";118;197
"[Periplaneta australasiae]";110;192
"[Incisitermes minor]";115;197
"[Neotermes insularis]";115;195
"[Astalotermes sp. TB-2014]";114;201
"[Anoplotermes parvus]";116;200
"[Aderitotermes cf. fossor BDIT074]";116;200
"[Odontotermes obesus]";119;196
"[Compositermes vindai]";116;200
"[Anoplotermes group nr. E1 TB-2014]";116;200
"[Hypotermes makhamensis]";118;196
"[Anoplotermes sp. E1 TB-2017]";117;200
"[Anoplotermes janus]";116;201
"[Ateuchotermes sp. C TB-2017]";117;200
"[Nasutitermes sp. AUS97]";114;199
"[Tumulitermes recalvus]";116;199
"[Rugitermes sp. A TB-2014]";118;192
"[Longustitermes manni]";116;201
"[Anoplotermes group sp. Q TB-2017]";116;202
"[Acholotermes chirotus]";116;201
"[Odontotermes sp. BDIT9-1.3A]";118;200
"[Syntermes spinosus]";118;201
"[Heterotermes vagus]";115;192
"[Macrotermes subhyalinus]";116;197
"[Odontotermes sp. BDIT085]";118;199
"[Cyrilliotermes angulariceps]";118;198
"[Odontotermes sp. C TB-2017]";118;197
"[Odontotermes sp. BDIT086]";119;199
"[Anoplotermes group sp. AD TB-2017]";115;200
"[Pseudacanthotermes militaris]";118;198
"[Amitermes dentatus]";115;199
"[Microcerotermes sp. B TB-2017]";118;201
"[Aparatermes nr. cingulatus G13-81]";115;203
"[Procapritermes sp. G TB-2017]";118;195
"[Odontotermes sp. BDIT087]";118;200
"[Microcerotermes parvus]";116;202
"[Macrotermes annandalei]";118;197
"[Odontotermes nr. pauperans RDCT160]";120;199
"[Microtermes obesi]";117;197
"[Cryptotermes declivis]";113;195
"[Euhamitermes hamatus]";115;201
"[Macrotermes muelleri]";117;197
"[Odontotermes sp. D TB-2017]";121;198
"[Microtermes sp. B TB-2017]";117;197
"[Macrotermes sp. B TB-2017]";118;197
"[Macrotermes falciger]";118;197
"[Pseudacanthotermes spiniger]";118;199
"[Macrotermes barneyi]";118;197
"[Macrotermes vitrialatus]";117;197
"[Macrotermes carbonarius]";117;197
"[Macrotermes yunnanensis]";118;196
"[Nasutitermes matangensis]";117;200
"[Ophiotermes grandilabius]";116;200
"[Cornitermes cumulans]";117;199
"[Cylindrotermes parvignathus]";118;200
"[Ephelotermes taylori]";117;196
"[Ephelotermes melachoma]";116;196
"[Drepanotermes sp. SLC-2012]";115;202
"[Pericapritermes sp. A TB-2017]";117;201
"[Pericapritermes dolichocephalus]";117;199
"[Furculitermes winifredae]";116;202
"[Dicuspiditermes sp. 2 TB-2017]";119;199
"[Nasutitermes matangensis]";118;200
"[Coptotermes acinaciformis raffrayi]";62;60
"partial [Blattella bisignata]";53;62
"partial [Haplosymploce aurantiaca]";53;62
"[Coptotermes acinaciformis raffrayi]";62;61
"partial [Blattella germanica]";53;63
"[Blattella germanica]";53;63
"partial [Blattella germanica]";53;63
"[Coptotermes acinaciformis raffrayi]";63;61
"partial [Blattella germanica]";53;63
"partial [Blattella germanica]";53;63
"partial [Coptotermes acinaciformis]";62;61
"partial [Coptotermes acinaciformis]";62;62
"partial [Lobopterella dimidiatipes]";55;64
"partial [Lobopterella dimidiatipes]";60;65
"[Blattella bisignata]";52;63
"partial [Perisphaeria cf. substylifera SR-2005]";61;56
"partial [Blattella nipponica]";54;62
"[Coptotermes remotus]";62;63
"[Coptotermes kalshoveni]";63;62
"[Coptotermes acinaciformis acinaciformis]";62;61
"[Paratropes sp. 1 DJGI-2006]";62;59
"[Coptotermes sepangensis]";63;63
"[Coptotermes travians]";63;64
"[Coptotermes acinaciformis acinaciformis]";62;59
"[Coptotermes acinaciformis acinaciformis]";62;59
"[Coptotermes sepangensis]";63;64
"partial [Coptotermes kalshoveni]";61;62
"partial [Blattella asahinai]";51;61
"partial [Perisphaeria cf. scabrella SR-2005]";58;59
"[Coptotermes michaelseni]";62;62
"[Coptotermes acinaciformis raffrayi]";62;60
"[Coptotermes kalshoveni]";64;62
"[Coptotermes acinaciformis acinaciformis]";63;60
"[Coptotermes acinaciformis acinaciformis]";62;61
"[Stylotermes sp. CN14]";62;63
"partial [Temnopteryx sp. 1 DJGI-2006]";62;64
"partial [Coptotermes sp.]";62;61
"partial [Blattella lituricollis]";54;62
"partial [Episymploce kunmingi]";55;63
"partial [Coptotermes acinaciformis]";62;60
"partial [Lobopterella dimidiatipes]";55;64
"[Coptotermes acinaciformis acinaciformis]";62;60
"partial [Coptotermes travians]";62;61
"partial [Coptotermes acinaciformis]";61;59
"partial [Coptotermes sp. AP01]";62;61
"partial [Perisphaerinae sp. MNHN BL155]";52;57
"partial [Coptotermes michaelseni]";62;60
"[Coptotermes acinaciformis acinaciformis]";62;60
