,Species,Gene,GeneName,Ala,Arg,Asn,Asp,Cys,Gln,Glu,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Trp,Tyr,Val
0,[Parrhinotermes microdentiformis],COX1,cytochrome c oxidase subunit 1 ,39,9,20,14,2,10,10,44,15,41,56,9,35,42,27,42,37,15,15,33
1,[Dolichorhinotermes longilabius],COX1,cytochrome c oxidase subunit 1 ,40,9,19,14,2,10,10,44,15,42,59,9,33,42,27,42,37,15,15,31
2,[Astratotermes sp. RDCT147],COX1,cytochrome c oxidase subunit 1 ,38,10,18,14,2,7,10,46,16,39,57,9,32,45,27,40,38,15,15,36
3,[Prorhinotermes canalifrons],COX1,cytochrome c oxidase subunit 1 ,40,9,18,14,2,10,10,46,16,38,58,10,34,42,26,43,34,15,13,37
4,[Aderitotermes sp. TB-2014],COX1,cytochrome c oxidase subunit 1 ,38,10,19,14,2,7,10,45,16,39,57,9,32,45,27,40,39,15,15,36
5,[Astalotermes murcus],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,7,10,45,16,39,57,9,32,45,27,40,39,15,15,36
6,partial [Prorhinotermes simplex],COX1,cytochrome c oxidase subunit I ,37,9,18,14,2,10,10,46,16,41,58,10,33,42,26,44,36,15,13,35
7,[Zootermopsis nevadensis],COX1,cytochrome c oxidase subunit I ,34,8,16,15,1,9,10,45,17,47,58,11,33,38,26,47,37,15,16,29
8,[Heterotermes cf. occiduus 3.15.2AUS],COX1,cytochrome c oxidase subunit I ,40,9,19,14,2,10,10,44,15,41,56,8,33,43,27,45,35,15,15,34
9,[Eupolyphaga sinensis],COX1,cytochrome c oxidase subunit I ,38,8,19,14,2,12,11,43,15,45,60,9,32,40,26,44,30,15,17,34
10,[Termitogeton planus],COX1,cytochrome c oxidase subunit 1 ,40,9,18,14,2,10,10,43,16,38,57,10,34,40,27,46,37,15,14,34
11,[Heterotermes tenuis],COX1,cytochrome c oxidase subunit I ,40,9,19,14,2,10,10,44,15,41,55,9,33,44,27,44,36,15,15,33
12,[Heterotermes platycephalus],COX1,cytochrome c oxidase subunit I ,40,9,19,14,2,10,10,44,15,40,57,9,32,43,27,44,36,15,15,34
13,[Coptotermes amanii],COX1,cytochrome c oxidase subunit I ,40,9,20,14,2,10,10,44,17,42,57,9,31,44,27,43,36,15,14,32
14,[Glyptotermes satsumensis],COX1,cytochrome c oxidase subunit 1 ,38,10,18,14,2,10,10,45,15,44,60,8,31,39,27,42,35,15,16,35
15,[Heterotermes nr. tenuis COL.4PUERTO],COX1,cytochrome c oxidase subunit I ,40,9,20,14,2,10,10,44,15,41,55,9,33,44,27,43,36,15,15,33
16,[Ateuchotermes sp. TB-2014],COX1,cytochrome c oxidase subunit 1 ,39,10,18,14,2,7,10,45,16,39,58,9,32,44,27,41,38,15,15,36
17,[Apicotermitinae gen. A sp. TB-2017],COX1,cytochrome c oxidase subunit 1 ,39,10,18,14,2,7,10,45,16,39,58,9,32,44,27,40,38,15,15,36
18,[Stylotermes sp. TW5238],COX1,cytochrome c oxidase subunit 1 ,37,9,20,14,2,9,10,44,16,41,55,8,33,43,27,43,38,15,15,33
19,[Coptotermes michaelseni],COX1,cytochrome c oxidase subunit I ,40,9,20,14,2,10,10,44,15,42,57,9,31,44,27,43,36,15,15,32
20,[Coptotermes sjoestedti],COX1,cytochrome c oxidase subunit 1 ,40,9,20,14,2,10,10,44,16,42,57,9,31,44,27,43,36,15,15,32
21,[Glyptotermes sp. C TB-2014],COX1,cytochrome c oxidase subunit 1 ,38,10,17,14,2,9,10,44,17,44,58,10,33,39,27,42,35,15,14,36
22,[Porotermes adamsoni],COX1,cytochrome c oxidase subunit I ,36,9,18,14,1,11,10,45,16,41,58,9,35,40,27,43,37,15,15,33
23,[Periplaneta fuliginosa],COX1,cytochrome c oxidase subunit I ,40,9,18,14,2,11,10,45,15,46,58,8,32,40,28,43,30,15,16,32
24,partial [Periplaneta brunnea],COX1,cytochrome c oxidase subunit I ,40,9,18,14,2,11,10,45,15,44,58,8,31,40,28,43,31,15,16,34
25,[Odontotermes sp. K TB-2017],COX1,cytochrome c oxidase subunit 1 ,37,10,17,14,2,8,10,45,17,38,56,10,34,42,27,42,39,15,15,37
26,[Periplaneta australasiae],COX1,cytochrome c oxidase subunit I ,40,9,18,14,2,11,10,45,15,45,57,8,32,40,28,43,30,15,16,33
27,[Incisitermes minor],COX1,cytochrome c oxidase subunit 1 ,37,9,19,15,2,10,10,45,15,45,60,8,29,40,27,41,36,15,16,35
28,[Neotermes insularis],COX1,cytochrome c oxidase subunit I ,40,9,18,14,2,11,10,45,15,44,59,9,30,40,27,44,35,15,16,34
29,[Astalotermes sp. TB-2014],COX1,cytochrome c oxidase subunit 1 ,40,10,18,14,2,7,10,45,16,38,59,8,32,44,27,40,38,15,15,36
30,[Anoplotermes parvus],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,7,10,45,16,39,58,9,32,44,27,40,39,15,15,36
31,[Aderitotermes cf. fossor BDIT074],COX1,cytochrome c oxidase subunit 1 ,38,10,17,14,2,8,10,45,16,39,58,9,32,44,27,41,39,15,15,36
32,[Odontotermes obesus],COX1,cytochrome c oxidase subunit I ,38,10,17,14,2,8,10,45,17,38,56,10,34,42,27,41,40,15,15,36
33,[Compositermes vindai],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,7,10,45,16,39,58,9,32,44,27,40,39,15,15,36
34,[Anoplotermes group nr. E1 TB-2014],COX1,cytochrome c oxidase subunit 1 ,38,10,18,14,2,7,10,45,16,39,58,9,32,44,27,40,39,15,15,36
35,[Hypotermes makhamensis],COX1,cytochrome c oxidase subunit I ,38,10,17,14,2,8,10,45,17,38,56,10,35,42,27,41,39,15,15,36
36,[Anoplotermes sp. E1 TB-2017],COX1,cytochrome c oxidase subunit 1 ,38,10,18,14,2,7,10,45,16,38,57,9,32,44,28,40,39,15,15,37
37,[Anoplotermes janus],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,7,10,45,16,38,58,9,32,44,27,40,39,15,15,37
38,[Ateuchotermes sp. C TB-2017],COX1,cytochrome c oxidase subunit 1 ,38,10,18,14,2,7,10,45,17,39,58,9,32,44,27,40,39,15,15,36
39,[Nasutitermes sp. AUS97],COX1,cytochrome c oxidase subunit 1 ,39,10,18,14,2,7,10,45,16,39,58,8,32,44,28,42,37,15,15,35
40,[Tumulitermes recalvus],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,7,10,45,16,39,58,9,32,44,28,41,38,15,15,35
41,[Rugitermes sp. A TB-2014],COX1,cytochrome c oxidase subunit 1 ,36,9,20,14,2,10,10,45,15,45,59,9,35,39,27,40,37,15,16,32
42,[Longustitermes manni],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,7,10,45,16,38,58,9,32,44,27,40,39,15,15,37
43,[Anoplotermes group sp. Q TB-2017],COX1,cytochrome c oxidase subunit 1 ,38,10,18,14,2,7,10,45,16,37,58,9,32,44,27,40,39,15,15,38
44,[Acholotermes chirotus],COX1,cytochrome c oxidase subunit I ,37,10,18,14,2,7,10,46,16,39,58,9,32,44,27,40,39,15,15,36
45,[Odontotermes sp. BDIT9-1.3A],COX1,cytochrome c oxidase subunit 1 ,39,10,17,14,2,8,10,46,17,38,59,9,31,42,27,40,40,15,15,36
46,[Syntermes spinosus],COX1,cytochrome c oxidase subunit 1 ,36,10,20,14,2,7,10,45,16,39,61,8,31,43,27,40,40,15,15,35
47,[Heterotermes vagus],COX1,cytochrome c oxidase subunit I ,40,9,18,14,2,10,10,44,15,42,55,9,33,44,27,44,36,15,15,32
48,[Macrotermes subhyalinus],COX1,cytochrome c oxidase subunit I ,39,10,18,14,2,8,10,45,16,38,56,9,34,44,27,41,38,15,15,35
49,[Odontotermes sp. BDIT085],COX1,cytochrome c oxidase subunit 1 ,39,10,17,14,2,8,10,46,17,38,59,9,32,42,27,40,40,15,15,35
50,[Cyrilliotermes angulariceps],COX1,cytochrome c oxidase subunit 1 ,36,10,18,14,2,7,10,45,16,39,57,9,34,44,27,40,41,15,15,35
51,[Odontotermes sp. C TB-2017],COX1,cytochrome c oxidase subunit 1 ,38,10,17,14,2,8,10,45,17,38,57,10,33,42,27,42,39,15,15,36
52,[Odontotermes sp. BDIT086],COX1,cytochrome c oxidase subunit 1 ,38,10,17,14,2,8,10,46,17,38,58,9,32,42,27,40,41,15,15,36
53,[Anoplotermes group sp. AD TB-2017],COX1,cytochrome c oxidase subunit 1 ,38,10,18,14,2,7,10,45,16,38,58,9,32,43,27,41,38,15,16,37
54,[Pseudacanthotermes militaris],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,8,10,45,16,38,58,9,31,43,27,42,40,15,15,35
55,[Amitermes dentatus],COX1,cytochrome c oxidase subunit I ,37,10,19,14,2,7,10,45,16,41,56,9,32,44,27,41,37,15,15,37
56,[Microcerotermes sp. B TB-2017],COX1,cytochrome c oxidase subunit 1 ,36,10,18,14,2,7,10,45,16,39,60,9,31,44,27,40,41,15,15,35
57,[Aparatermes nr. cingulatus G13-81],COX1,cytochrome c oxidase subunit 1 ,38,10,18,14,2,7,10,46,16,37,58,9,32,44,27,40,38,15,15,38
58,[Procapritermes sp. G TB-2017],COX1,cytochrome c oxidase subunit 1 ,39,10,18,14,2,7,10,44,16,39,58,9,35,44,27,39,41,15,15,32
59,[Odontotermes sp. BDIT087],COX1,cytochrome c oxidase subunit 1 ,39,10,17,14,2,8,10,46,17,38,60,9,31,41,27,40,40,15,15,36
60,[Microcerotermes parvus],COX1,cytochrome c oxidase subunit 1 ,37,10,18,14,2,7,10,46,16,39,60,9,31,44,27,40,39,15,15,35
61,[Macrotermes annandalei],COX1,cytochrome c oxidase subunit I ,39,10,20,14,2,8,10,45,16,38,57,9,33,43,27,40,38,15,15,35
62,[Odontotermes nr. pauperans RDCT160],COX1,cytochrome c oxidase subunit 1 ,38,10,18,14,2,8,10,46,17,38,58,9,32,42,27,39,41,15,15,36
63,[Microtermes obesi],COX1,cytochrome c oxidase subunit I ,39,10,18,14,2,8,10,45,16,37,56,9,34,43,27,42,39,15,15,36
64,[Cryptotermes declivis],COX1,cytochrome c oxidase subunit I ,40,9,19,15,2,9,9,44,16,44,58,8,31,41,27,42,34,15,16,35
65,[Euhamitermes hamatus],COX1,cytochrome c oxidase subunit I ,39,10,18,14,2,7,11,45,16,38,58,9,32,44,27,39,38,15,15,37
66,[Macrotermes muelleri],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,8,10,45,16,38,56,9,34,43,27,41,39,15,15,36
67,[Odontotermes sp. D TB-2017],COX1,cytochrome c oxidase subunit 1 ,37,10,19,14,2,8,10,45,16,37,57,10,33,42,27,40,41,15,15,37
